epoch,train_loss,valid_loss,valid_micro_ap,valid_mrr,valid_hit_rate_at_5,valid_recall_at_5,maximum_gradient_norm
1,1.1822872363269057,1.1576433380444844,0.26629791406583064,0.539781746031746,0.7916666666666666,0.5192129629629629,1.5780490636825562
2,1.1209232398908433,1.1414995193481445,0.33183662126658653,0.5988095238095238,0.8125,0.5378472222222223,1.6821924448013306
3,1.0884589735231442,1.1353786985079448,0.33798167352373815,0.6205530002405003,0.8125,0.5763310185185185,1.1726551055908203
4,1.0509978165365246,1.1263591647148132,0.35974745975875666,0.7024222883597884,0.8125,0.5821180555555555,1.0472538471221924
5,1.0236568244080566,1.1143335700035095,0.3548458933096197,0.6976611351611351,0.8541666666666666,0.6282407407407407,1.3053052425384521
6,1.000037766482732,1.1113016208012898,0.36944386840091076,0.6845824314574314,0.8541666666666666,0.6359374999999999,1.1036864519119263
7,0.9687706743745499,1.1071261763572693,0.35304319883321356,0.6564471408221407,0.8333333333333334,0.6153935185185185,1.2127817869186401
8,0.9424726124767844,1.099519928296407,0.3764370086778648,0.6863425925925926,0.875,0.6715277777777778,1.1372545957565308
9,0.9212708383390348,1.0956303278605144,0.3667220497769448,0.680489417989418,0.8333333333333334,0.6090277777777778,1.2720849514007568
10,0.8960371409377007,1.0996620257695515,0.37668022216800273,0.6733465608465609,0.8333333333333334,0.6385416666666667,2.3934714794158936
11,0.8810860201648382,1.1066035827000935,0.37944841223557396,0.6816798941798942,0.8541666666666666,0.6463541666666667,1.6695141792297363
12,0.8584382520418733,1.1011080940564473,0.37740406866431014,0.6661390692640693,0.875,0.6732638888888888,1.5477458238601685
13,0.8338288392650482,1.0942296385765076,0.3766287392496488,0.6786390692640693,0.8125,0.6072916666666667,1.473480224609375
14,0.8277764995348508,1.0955931544303894,0.39500636548003176,0.7114673520923521,0.8541666666666666,0.6670138888888889,1.5698720216751099
15,0.7988262652806496,1.0969434181849163,0.3797766113819175,0.6794823232323232,0.8541666666666666,0.6628472222222223,1.571731448173523
16,0.7852021229865889,1.093480368455251,0.3950145602032495,0.7064078282828282,0.9166666666666666,0.7253472222222221,1.4654302597045898
17,0.7746949288398708,1.097472647825877,0.39224512973950565,0.6956439393939394,0.8541666666666666,0.6565972222222222,1.5542106628417969
18,0.7464110494748643,1.108792245388031,0.39740422692262395,0.6862689393939393,0.8541666666666666,0.6472222222222221,1.4160289764404297
19,0.7357666778237852,1.1089895367622375,0.38944900454450426,0.6659406565656565,0.875,0.6904513888888889,1.6249397993087769
20,0.7230527365588706,1.1052420139312744,0.392225646727944,0.668560606060606,0.8958333333333334,0.6930555555555555,1.52424955368042
21,0.7068540851275126,1.1059618790944417,0.40153281435971566,0.6896254208754208,0.8958333333333334,0.7086805555555555,1.45489501953125
22,0.6970972636518957,1.1245485544204712,0.398366865811913,0.6800189393939394,0.8958333333333334,0.7052083333333332,2.0705392360687256
23,0.687396323844178,1.1304408113161724,0.3940030847666191,0.6928661616161617,0.8958333333333334,0.7104166666666666,2.4307520389556885
24,0.669208903563077,1.1301064491271973,0.39905564128683235,0.6844170875420875,0.875,0.6713541666666666,2.2705392837524414
25,0.6577884541254609,1.1334222356478374,0.40231610035277154,0.6930976430976431,0.8958333333333334,0.7052083333333332,1.538105845451355
26,0.6458627075365145,1.1427484154701233,0.3968220477889658,0.6772411616161617,0.9166666666666666,0.7312499999999998,1.6825683116912842
27,0.6308271721617816,1.1441542108853657,0.4009043917669298,0.6757365319865318,0.8958333333333334,0.701736111111111,2.3749892711639404
28,0.6226926478621078,1.1477392117182414,0.4082254762788941,0.6847064393939394,0.9166666666666666,0.764236111111111,1.9837545156478882
29,0.6065455637021696,1.155300259590149,0.4086863656187713,0.6991161616161615,0.9166666666666666,0.748611111111111,1.2673790454864502
30,0.6001388455090457,1.1681102712949116,0.4173727456056685,0.6986531986531986,0.875,0.7069444444444444,1.5468385219573975
31,0.590554287444511,1.163136104742686,0.41162655476979176,0.7010837542087541,0.9166666666666666,0.7381944444444444,1.4746975898742676
32,0.583320081778313,1.1715301871299744,0.4129217966752717,0.7003893097643097,0.9166666666666666,0.7590277777777777,1.5096665620803833
33,0.5682410981557141,1.197235107421875,0.4065751429227435,0.6715698653198654,0.9166666666666666,0.7538194444444444,1.5282597541809082
34,0.5585435721427883,1.2047144969304402,0.4079364099955468,0.6865004208754208,0.9166666666666666,0.7538194444444444,1.5449568033218384
35,0.5554696852213716,1.2109555006027222,0.4116581007575254,0.6983059764309765,0.9166666666666666,0.7694444444444444,1.4424023628234863
36,0.5427147522908912,1.2234169046084087,0.41498431748772846,0.712310606060606,0.9166666666666666,0.748611111111111,1.6795074939727783
37,0.5296263976456368,1.2275167902310689,0.42108237897391754,0.713236531986532,0.9375,0.795486111111111,1.706380009651184
38,0.5275185206165053,1.2360603014628093,0.4217170534022123,0.7208175505050504,0.9166666666666666,0.7746527777777777,2.5393381118774414
39,0.5140390140280876,1.2473771572113037,0.42492908658560324,0.7353009259259258,0.8958333333333334,0.7694444444444444,1.6825050115585327
40,0.5159974149917359,1.2461856603622437,0.4193791015326223,0.7116898148148149,0.9166666666666666,0.7694444444444444,1.8880407810211182
41,0.49873860894817196,1.2590407729148865,0.4230608549478965,0.7171875,0.9375,0.795486111111111,1.647696614265442
42,0.4917957159482181,1.2704709966977437,0.4309900708704459,0.7352430555555555,0.9375,0.795486111111111,1.4039303064346313
43,0.4926706163306214,1.2766550580660503,0.43757239499706435,0.7369791666666666,0.9375,0.803298611111111,2.2558705806732178
44,0.4710712436943838,1.2957880695660908,0.42983624021409056,0.7196180555555555,0.9375,0.8006944444444444,1.6520107984542847
45,0.4761838191720449,1.3097323973973591,0.4308999289759538,0.719295634920635,0.9166666666666666,0.7694444444444444,2.0881872177124023
46,0.4635575899522599,1.3059691389401753,0.4356246129983261,0.730406746031746,0.9375,0.8009837962962963,1.7938350439071655
47,0.46256925880092464,1.2974763711293538,0.43894459048378515,0.7140873015873016,0.9375,0.805150462962963,1.4704996347427368
48,0.454921740375153,1.317851960659027,0.4344753143733451,0.7182539682539683,0.9375,0.803298611111111,1.418424367904663
49,0.44604943332062463,1.3341263333956401,0.44262710778905356,0.730406746031746,0.9375,0.803298611111111,1.4695215225219727
50,0.4395167215229714,1.3375454743703206,0.44573673977015577,0.7182539682539683,0.9375,0.8009837962962963,1.6897525787353516
51,0.42999204666647195,1.3643782536188762,0.43981032417009536,0.7265625,0.9375,0.795775462962963,1.4159711599349976
52,0.4278874525196476,1.3668816884358723,0.4425658683827747,0.7258680555555556,0.9166666666666666,0.7905671296296296,1.874152660369873
53,0.4186263491301776,1.372876246770223,0.4435366535413181,0.728298611111111,0.9375,0.8009837962962963,1.5859380960464478
54,0.4141880746709702,1.3788674275080364,0.4514280802091989,0.7291666666666666,0.9375,0.8009837962962963,1.820184350013733
55,0.4048298182280641,1.3810956875483196,0.4559119077059442,0.7165178571428571,0.9375,0.8025462962962964,1.5430704355239868
56,0.39845806346636387,1.3956902424494426,0.4577817862237411,0.7145833333333332,0.9166666666666666,0.789525462962963,1.340468406677246
57,0.3969830729101346,1.4076818625132244,0.4606211187998873,0.7128472222222223,0.9166666666666666,0.7869212962962964,1.9240177869796753
58,0.3913390893642216,1.4149140914281209,0.45148405173216766,0.712673611111111,0.9375,0.797337962962963,1.6316877603530884
59,0.3839929638660117,1.4324357112248738,0.45474803158082394,0.7140873015873016,0.9166666666666666,0.7869212962962964,1.5394495725631714
60,0.3749923138585809,1.4474122126897175,0.45101676486576286,0.7152777777777777,0.9375,0.8025462962962964,1.328802227973938
61,0.3719734462428855,1.44574773311615,0.46264685493181756,0.7135416666666666,0.9375,0.8025462962962964,1.467566728591919
62,0.37032342719160805,1.443377176920573,0.46427415683079143,0.7121527777777779,0.8958333333333334,0.7712962962962964,1.5219560861587524
63,0.359601407562761,1.4645272095998128,0.45930019824813684,0.703125,0.9375,0.8025462962962964,1.613834023475647
64,0.355607301949366,1.4778900543848674,0.45901171147820996,0.7140873015873016,0.9166666666666666,0.7869212962962964,1.9191604852676392
65,0.3510579333457773,1.488592267036438,0.4607114686807225,0.7140873015873016,0.9166666666666666,0.7869212962962964,1.5415623188018799
66,0.33871203279930706,1.5087872743606567,0.46547661026581283,0.713392857142857,0.8958333333333334,0.7712962962962964,1.685930848121643
67,0.343566555682927,1.5129992961883545,0.4688951121066699,0.7140873015873016,0.9166666666666666,0.7921296296296297,1.703848123550415
68,0.3362319737536722,1.5172847906748455,0.4709930802021105,0.7041666666666666,0.9166666666666666,0.781712962962963,1.597998023033142
69,0.33273335120993663,1.5229800939559937,0.47440417811044,0.7049437830687829,0.8958333333333334,0.7712962962962964,1.3802992105484009
70,0.33531008218521396,1.5289889574050903,0.47185604481707477,0.7160548941798942,0.9166666666666666,0.781712962962963,1.6133695840835571
71,0.32246512882241374,1.5494043429692586,0.47702286938667166,0.7084160052910052,0.8958333333333334,0.7608796296296297,1.3935774564743042
72,0.3146058111430303,1.5508588949839275,0.4756790850109332,0.7163194444444443,0.9166666666666666,0.7712962962962964,1.4526708126068115
73,0.31227558892067164,1.5764819780985515,0.4810824372708526,0.7161300505050505,0.9166666666666666,0.7712962962962964,1.6356700658798218
74,0.30196480731985886,1.5847710371017456,0.48240035252523056,0.7253562409812409,0.8958333333333334,0.7608796296296297,1.554572343826294
75,0.3038499767649664,1.5816442171732585,0.4837954530870702,0.721031746031746,0.8958333333333334,0.7608796296296297,1.402754545211792
76,0.29605119631170684,1.5868391195933025,0.4820574244885568,0.7267609126984126,0.9166666666666666,0.7686921296296297,1.2619643211364746
77,0.2979482821950085,1.5901525417963664,0.4808911456555224,0.7342013888888889,0.9166666666666666,0.7712962962962964,1.4888067245483398
78,0.29416746132450017,1.6051589250564575,0.48437346239532103,0.7264715608465607,0.9166666666666666,0.7712962962962964,1.4484034776687622
79,0.283582316822113,1.61769437789917,0.4891283876566269,0.7271660052910053,0.9375,0.781712962962963,1.4071365594863892
80,0.2869833215186585,1.6148776213328044,0.4901164261887339,0.7490410052910051,0.9375,0.781712962962963,1.8104441165924072
