epoch,train_loss,valid_loss,valid_micro_ap,valid_mrr,valid_hit_rate_at_5,valid_recall_at_5,maximum_gradient_norm
1,0.9442388728863931,0.8728645510143704,0.07114589482922205,0.23296695521256763,0.3333333333333333,0.054531644825762476,0.38471004366874695
2,0.8330143690109253,0.8096576399273343,0.10437664876036842,0.2816925385968051,0.4444444444444444,0.10256225618970716,0.38475745916366577
3,0.7790089511457895,0.7867873112360636,0.12242660279429461,0.32670166466850276,0.5,0.13344270290348723,0.5792365074157715
4,0.7429757969227829,0.7748050822152032,0.12938690704930988,0.3325124072945059,0.4722222222222222,0.13358348804427236,0.8838514685630798
5,0.7148839407573545,0.7577355636490716,0.1405050465891703,0.3759140397461447,0.5555555555555556,0.14352214869371735,1.0172429084777832
6,0.685381522412934,0.7495317525333829,0.14676728657529273,0.356378533110947,0.5833333333333334,0.19148390915547778,0.7329797744750977
7,0.6636032110693827,0.7422009574042426,0.1520496836069334,0.41872618499738185,0.6388888888888888,0.21060809923555024,1.138249158859253
8,0.637513407392998,0.7390236788325839,0.15631178449791158,0.4057354392751965,0.5833333333333334,0.21682565890899222,1.0399327278137207
9,0.6095962128198216,0.7300874789555868,0.15853138616005305,0.39762541098229764,0.5555555555555556,0.17202344315089413,1.360586404800415
10,0.5975805986134303,0.7246942851278517,0.1606299243357689,0.4175594317185989,0.6388888888888888,0.19275095637840736,0.9264909029006958
11,0.5720541604681512,0.7163192364904616,0.16857740828723633,0.4286018241749467,0.6388888888888888,0.20155486851565282,0.9041339159011841
12,0.5493476301259388,0.7134306232134501,0.17209688895863812,0.41861982394442615,0.6111111111111112,0.24467396800730137,1.1373920440673828
13,0.5279163652761824,0.70938773949941,0.17078428533953205,0.41326214316146964,0.6666666666666666,0.26206072068817166,1.1161335706710815
14,0.5124509978845629,0.7008656859397888,0.17559798563796292,0.44214648948397195,0.6666666666666666,0.2447591333865843,1.1193047761917114
15,0.4926352404445582,0.6973638865682814,0.18117020883685583,0.4331807640183673,0.6666666666666666,0.23473388086133185,1.1165101528167725
16,0.47615557822877963,0.6953209704822965,0.18332806220293182,0.425047354908466,0.6388888888888888,0.2629068924902258,1.3087607622146606
17,0.46050042103480743,0.6958624256981744,0.1830339451729704,0.46349992044107846,0.6111111111111112,0.2536476332309665,1.6839076280593872
18,0.43677222780409575,0.6903329226705763,0.18579093733507948,0.4893398513743911,0.6944444444444444,0.27942183179928276,1.7046747207641602
