split_type,model,representation,valid_mae,valid_rmse,valid_r2,valid_spearman,test_mae,test_rmse,test_r2,test_spearman,final_train_seconds
random,xgboost,combined,0.6855089353461348,0.9921549993986786,0.8303798834683238,0.9080286784919014,0.6741843178570289,1.0256955864555195,0.8101562402362972,0.903195892530372,7.935073752887547
random,random_forest,combined,0.7226945133090549,1.0435794571529775,0.8123410206645617,0.8973282725240278,0.7120039825158399,1.0768644665760927,0.7907423006509299,0.8905208496872553,21.02832516748458
random,xgboost,descriptors,0.76189194288542,1.096337620623045,0.7928871994221244,0.8867161690113308,0.7581043610315253,1.16149768657926,0.7565576952280011,0.8756264226727057,1.2554367017000914
random,random_forest,descriptors,0.7800583871532952,1.111012936129254,0.7873053635239832,0.8825756496954804,0.7701979861981051,1.1574716735386612,0.7582424222452012,0.8733403867067302,0.3678734079003334
random,xgboost,ecfp,0.9659548105899938,1.3192753285528924,0.7000912140417108,0.826855838886424,0.9325168867680372,1.2956856134714023,0.6970586014373505,0.8331601332255627,8.804748048074543
random,random_forest,ecfp,1.0046462120807584,1.3759278988655812,0.6737806933153414,0.8069171511755959,0.9872511063746664,1.3609407083162557,0.6657759000342887,0.8107816050611375,72.70208421163261
random,ridge,combined,1.0682266794419657,1.4252134805694538,0.6499918556375696,0.8127653037464742,1.0200748983595724,1.462935356125503,0.613802351729092,0.8214514362588353,0.3620430873706937
random,ridge,ecfp,1.1545100250266012,1.5235633203556869,0.6000190347986379,0.7615831530796561,1.1149565383148812,1.4883838004244303,0.6002493102352601,0.7730331019731415,0.2742857495322823
random,ridge,descriptors,1.288174593097971,1.6901451360362827,0.5077720087111828,0.7626648451732244,1.2437916721066231,1.7562700217465652,0.4434016310272216,0.7600956748360439,0.0035831108689308
random,mean,none,1.9087005566352997,2.4091818564419785,-0.0001323491666105,,1.8811782642540933,2.3540907188536586,-1.322374975121221e-05,,0.0001793401315808
scaffold,xgboost,combined,1.023657994282465,1.6466891941837285,0.5327035777837525,0.7503526928490594,0.7943780689054781,1.1066483244009264,0.7674116520748357,0.8559340603703033,4.638849114999175
scaffold,random_forest,combined,1.0633212476537943,1.6586184860771598,0.5259084794990816,0.7416014535105183,0.8163329203408766,1.1429921154200535,0.7518837769693429,0.8459720245790363,20.317758267745376
scaffold,random_forest,descriptors,1.0949356313460108,1.665028875028821,0.522236768378493,0.730914936284618,0.8760772730302869,1.226170377869035,0.7144577794133294,0.8248446971769688,0.4237799700349569
scaffold,xgboost,descriptors,1.0852964680829185,1.663213151963946,0.5232782070385119,0.7332015577204769,0.8969749050952552,1.23987471950437,0.7080393630947359,0.8169694897274679,0.208891911432147
scaffold,ridge,combined,1.45724155071772,2.03134603918734,0.2888896364358793,0.6659337075201479,1.104561704872878,1.621749858625306,0.5004989220092342,0.7704710772966111,0.79657466057688
scaffold,xgboost,ecfp,1.4381512504381837,1.9796184469185176,0.3246449231933646,0.6162765133487759,1.250828234663685,1.5845135586931471,0.5231732493461753,0.686474615247415,1.073178630322218
scaffold,ridge,descriptors,1.5028848982036358,1.9908475564357468,0.3169614782432841,0.6792985347870282,1.288322399901732,1.8393063910154652,0.3574944963986964,0.7166695848388221,0.0030575301498174
scaffold,ridge,ecfp,1.4579601608502255,1.9704002682213324,0.3309199193019634,0.6084916702326151,1.319316174890172,1.675311874103985,0.4669597233638317,0.6765590604746877,0.2819029744714498
scaffold,random_forest,ecfp,1.6747789875165024,2.2554178590164957,0.1233561010403851,0.4087607566137848,1.3999217570116964,1.7614704080992143,0.4107231288052724,0.6208067706231662,35.832935268990695
scaffold,mean,none,2.3887507548195,2.7359684954810155,-0.290004927252643,,1.8539530688392056,2.382467672116225,-0.0780098400383877,,0.0003019114956259
