split_type,model,representation,selected_candidate,selected_parameters,validation_train_seconds,final_train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample,test_n_samples,test_mae,test_rmse,test_r2,test_spearman,test_prediction_seconds,test_milliseconds_per_sample
random,random_forest,combined,2,"{""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.5}",15.677784925326705,21.02832516748458,999,0.7226945133090549,1.0435794571529777,0.8123410206645617,0.8973282725240278,0.035498037934303284,0.035533571505809096,1997,0.7120039825158399,1.0768644665760927,0.7907423006509299,0.8905208496872553,0.04474225454032421,0.022404734371719685
random,random_forest,descriptors,4,"{""max_depth"": 20, ""min_samples_leaf"": 1, ""max_features"": ""sqrt""}",0.3380633099004626,0.3678734079003334,999,0.7800583871532952,1.111012936129254,0.7873053635239832,0.8825756496954804,0.04362051095813513,0.043664175133268396,1997,0.7701979861981051,1.1574716735386612,0.7582424222452012,0.8733403867067302,0.043729377910494804,0.021897535258134603
random,random_forest,ecfp,1,"{""max_depth"": null, ""min_samples_leaf"": 1, ""max_features"": 1.0}",57.08985565416515,72.70208421163261,999,1.0046462120807584,1.3759278988655812,0.6737806933153414,0.8069171511755959,0.04494099970906973,0.044985985694764495,1997,0.9872511063746663,1.3609407083162557,0.6657759000342887,0.8107816050611375,0.05539490282535553,0.027739060002681788
scaffold,random_forest,combined,2,"{""max_depth"": null, ""min_samples_leaf"": 2, ""max_features"": 0.5}",8.876310683786869,20.317758267745376,2940,1.0633212476537943,1.6586184860771598,0.5259084794990816,0.7416014535105183,0.044695193879306316,0.015202446897723237,1997,0.8163329203408766,1.1429921154200537,0.7518837769693429,0.8459720245790363,0.04550417512655258,0.022786266963721873
scaffold,random_forest,descriptors,5,"{""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5}",0.30702649988234043,0.42377997003495693,2940,1.0949356313460108,1.665028875028821,0.522236768378493,0.730914936284618,0.04310917016118765,0.01466298304802301,1997,0.8760772730302869,1.226170377869035,0.7144577794133294,0.8248446971769688,0.04358941316604614,0.021827447754655054
scaffold,random_forest,ecfp,5,"{""max_depth"": 20, ""min_samples_leaf"": 2, ""max_features"": 0.5}",17.884199680760503,35.832935268990695,2940,1.6747789875165024,2.2554178590164953,0.12335610104038519,0.4087607566137848,0.04514411184936762,0.015355140084818917,1997,1.3999217570116964,1.7614704080992145,0.4107231288052724,0.6208067706231662,0.04459425341337919,0.022330622640650572
