split_type,group_type,group,n_samples,mae,rmse,r2,spearman
random,scope,druglike,1738,0.5920161343982566,0.866357524828002,0.8568544208474261,0.9268387601392227
random,scope,outside_druglike_scope,259,1.2255677410861003,1.7535917466138842,0.5569062502461806,0.7656425912239866
random,label_band,LogS <= -8,50,1.37944384292,2.195764207319398,-4.70715015960716,0.15156681583608358
random,label_band,-8 < LogS <= -4,521,0.8141605193857966,1.178829057892358,-0.06095451400951113,0.6869980713851445
random,label_band,-4 < LogS <= 0,1217,0.5858608261998111,0.8939242285561905,0.30484956814547226,0.769266184983623
random,label_band,LogS > 0,209,0.6708308052358851,0.8841263700408772,-5.710854599194505,0.396940163087106
scaffold,scope,druglike,1815,0.737273927585124,0.9952405701012061,0.8057080554231582,0.8790433707751141
scaffold,scope,outside_druglike_scope,182,1.3638506331703295,1.8867709428702868,0.32418724051202974,0.6150054094080903
scaffold,label_band,LogS <= -8,77,1.078862744155844,1.767441568806589,-2.6576195579261706,0.4592825314116018
scaffold,label_band,-8 < LogS <= -4,662,0.79997013010574,1.0740395465768384,0.12499199268698846,0.708579461682372
scaffold,label_band,-4 < LogS <= 0,1148,0.7429360100662021,1.0342561137937878,0.029235491544280734,0.6207975290338485
scaffold,label_band,LogS > 0,110,1.0984526983454546,1.3930804672481667,-13.41058022226361,0.3961273598448276
