split_type,model,representation,selected_alpha,validation_train_seconds,final_train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample,test_n_samples,test_mae,test_rmse,test_r2,test_spearman,test_prediction_seconds,test_milliseconds_per_sample
random,ridge,combined,100.0,0.5350630786269903,0.3620430873706937,999,1.0682266794419657,1.4252134805694538,0.6499918556375696,0.8127653037464742,0.011832233518362045,0.011844077595958003,1997,1.0200748983595724,1.462935356125503,0.613802351729092,0.8214514362588353,0.017961951903998852,0.008994467653479646
random,ridge,ecfp,10.0,0.23147605080157518,0.27428574953228235,999,1.1545100250266012,1.5235633203556869,0.6000190347986379,0.7615831530796561,0.001320759765803814,0.0013220818476514654,1997,1.1149565383148812,1.4883838004244303,0.6002493102352601,0.7730331019731415,0.002347390167415142,0.0011754582711142425
random,ridge,descriptors,10.0,0.0031295744702219963,0.0035831108689308167,999,1.2881745930979713,1.6901451360362827,0.5077720087111828,0.7626648451732244,0.0002823946997523308,0.00028267737712946026,1997,1.2437916721066233,1.7562700217465652,0.44340163102722163,0.7600956748360439,0.0003307657316327095,0.00016563131278553306
random,mean,none,,0.0002770228311419487,0.00017934013158082962,999,1.9087005566352993,2.4091818564419785,-0.00013234916661053475,,2.9013492166996002e-05,2.90425347016977e-05,1997,1.8811782642540933,2.3540907188536586,-1.322374975121221e-05,,2.3455359041690826e-05,1.1745297467045982e-05
scaffold,ridge,combined,100.0,0.14480132330209017,0.79657466057688,2940,1.4572415507177199,2.03134603918734,0.2888896364358793,0.6659337075201479,0.032168442383408546,0.01094164706918658,1997,1.104561704872878,1.621749858625306,0.5004989220092342,0.7704710772966111,0.021597670391201973,0.010815057782274397
scaffold,ridge,descriptors,1000.0,0.002454499714076519,0.0030575301498174667,2940,1.5028848982036358,1.9908475564357468,0.31696147824328413,0.6792985347870282,0.00034679193049669266,0.00011795643894445329,1997,1.2883223999017321,1.8393063910154654,0.35749449639869646,0.7166695848388221,0.00031614769250154495,0.00015831131322060338
scaffold,ridge,ecfp,10.0,0.15485686995089054,0.28190297447144985,2940,1.4579601608502257,1.9704002682213324,0.3309199193019634,0.6084916702326151,0.0032637370750308037,0.0011101146513710217,1997,1.319316174890172,1.675311874103985,0.46695972336383174,0.6765590604746877,0.002386219799518585,0.0011949022531390012
scaffold,mean,none,,0.00032525788992643356,0.00030191149562597275,2940,2.3887507548195,2.7359684954810155,-0.29000492725264304,,3.6164186894893646e-05,1.230074384180056e-05,1997,1.8539530688392056,2.3824676721162246,-0.07800984003838773,,3.059115260839462e-05,1.5318554135400412e-05
