split_type,model,representation,selected_candidate,selected_rounds,selected_parameters,device,validation_train_seconds,final_train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample,test_n_samples,test_mae,test_rmse,test_r2,test_spearman,test_prediction_seconds,test_milliseconds_per_sample
random,xgboost,combined,4,1560,"{""max_depth"": 8, ""learning_rate"": 0.03, ""min_child_weight"": 1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",cuda:0,8.246514718979597,7.935073752887547,999,0.6855089353461348,0.9921549993986786,0.8303798834683238,0.9080286784919014,0.0449382159858942,0.04498319918507928,1997,0.6741843178570289,1.0256955864555195,0.8101562402362972,0.9031958925303721,0.058908830396831036,0.029498663193205325
random,xgboost,descriptors,4,728,"{""max_depth"": 8, ""learning_rate"": 0.03, ""min_child_weight"": 1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",cuda:0,1.4902548249810934,1.2554367017000914,999,0.76189194288542,1.096337620623045,0.7928871994221244,0.8867161690113308,0.016321243718266487,0.016337581299566053,1997,0.7581043610315253,1.16149768657926,0.7565576952280011,0.8756264226727057,0.01650816109031439,0.008266480265555527
random,xgboost,ecfp,4,1914,"{""max_depth"": 8, ""learning_rate"": 0.03, ""min_child_weight"": 1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",cuda:0,9.09079890884459,8.804748048074543,999,0.9659548105899938,1.3192753285528924,0.7000912140417108,0.826855838886424,0.052560482174158096,0.05261309526942752,1997,0.9325168867680371,1.2956856134714025,0.6970586014373505,0.8331601332255627,0.06168882176280022,0.030890747001902964
scaffold,xgboost,combined,4,817,"{""max_depth"": 8, ""learning_rate"": 0.03, ""min_child_weight"": 1, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 1.0}",cuda:0,4.8837813045829535,4.638849114999175,2940,1.023657994282465,1.6466891941837283,0.5327035777837525,0.7503526928490594,0.09727961663156748,0.03308830497672363,1997,0.7943780689054781,1.1066483244009264,0.7674116520748357,0.8559340603703033,0.03969455882906914,0.01987709505712025
scaffold,xgboost,descriptors,5,324,"{""max_depth"": 4, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 10.0}",cuda:0,0.31132660433650017,0.20889191143214703,2940,1.0852964680829185,1.6632131519639461,0.5232782070385119,0.7332015577204769,0.006548884324729443,0.002227511675078042,1997,0.8969749050952552,1.23987471950437,0.7080393630947359,0.8169694897274679,0.0065008485689759254,0.0032553072453559966
scaffold,xgboost,ecfp,5,785,"{""max_depth"": 4, ""learning_rate"": 0.05, ""min_child_weight"": 5, ""subsample"": 0.8, ""colsample_bytree"": 0.8, ""reg_lambda"": 10.0}",cuda:0,1.1734329471364617,1.073178630322218,2940,1.4381512504381835,1.9796184469185178,0.3246449231933646,0.6162765133487759,0.05248467531055212,0.017851930377738818,1997,1.250828234663685,1.5845135586931471,0.5231732493461753,0.686474615247415,0.03240662720054388,0.016227655082896284
