epoch,train_loss,valid_loss,valid_micro_ap,valid_mrr,valid_hit_rate_at_5,valid_recall_at_5,maximum_gradient_norm
1,0.9228694542034253,0.8909377200262887,0.10105307234017363,0.3227400767262611,0.6,0.20287189001474715,0.34249553084373474
2,0.8054304776964961,0.8281273194721767,0.13762960792370954,0.39261970670117197,0.4,0.14106425320711033,0.3836863338947296
3,0.7536455737577902,0.8129585317202976,0.1543099926045767,0.43836757666951215,0.5714285714285714,0.21530433851862424,0.6734435558319092
4,0.721028305710973,0.8023400783538819,0.18387973416480258,0.4664423287925592,0.6,0.23444603016031584,0.8254846930503845
5,0.6900886986706708,0.7907594306128366,0.20105604515699677,0.5131367698594589,0.6,0.2482339089481947,0.8282220363616943
6,0.6706076707388904,0.781988513469696,0.20984280458291593,0.5547113997113997,0.6571428571428571,0.25823390894819465,0.7851919531822205
7,0.6408083190789093,0.7760440996715001,0.21023930415206032,0.5322991014587654,0.7428571428571429,0.2599725274725275,0.6972289681434631
8,0.6228248357772828,0.770612006528037,0.22100765266332656,0.5569790249433105,0.7142857142857143,0.2736792968935826,1.7565646171569824
9,0.6007007144592904,0.7598132474081857,0.22894742102873275,0.576619502868277,0.7142857142857143,0.2873651348651349,1.1826428174972534
10,0.5763710133127264,0.7531168375696454,0.24110418040114015,0.630620436372316,0.7428571428571429,0.31887410208838773,0.8646576404571533
11,0.5576167522249995,0.7502075638089861,0.24685710955170345,0.6282915622389307,0.6857142857142857,0.3042712049854907,0.8717418313026428
12,0.5339290411085695,0.7451706051826477,0.25426106336783416,0.5963074352548036,0.7142857142857143,0.3062903762903763,1.119744062423706
13,0.5141136299919438,0.7361422044890268,0.25683752990326275,0.6170011066627608,0.7142857142857143,0.30192557442557444,0.9278714656829834
14,0.4975632467785397,0.7295670219830104,0.2714051293662138,0.6179627640529896,0.7142857142857143,0.3057134532134532,1.4624279737472534
15,0.482291032655819,0.729032289981842,0.2720097564055162,0.604486247879105,0.7714285714285715,0.34509990009990005,1.3731564283370972
16,0.46040610654934033,0.7264679874692644,0.27547737303531833,0.6140849242922977,0.7142857142857143,0.3089094239094239,1.4914039373397827
17,0.4471998665783856,0.7258635742323739,0.27542027364620014,0.5957549989692846,0.7142857142857143,0.31745920745920747,1.6489709615707397
18,0.4333999144064414,0.7209925430161612,0.28326813746369567,0.6026614476990417,0.8,0.3339617525331811,1.2267333269119263
19,0.4177822017991865,0.7229458621570042,0.2810637138589684,0.6002870270915384,0.8,0.3285703185703186,1.782204031944275
20,0.40269805047963114,0.7241440909249443,0.2793737563890709,0.6033595894498149,0.8,0.3380580530580531,1.6512846946716309
21,0.39087107664829973,0.7267251355307442,0.28347322758587734,0.6294132308793964,0.8285714285714286,0.3501792651792652,1.4623661041259766
22,0.37592047291833003,0.7267644456454686,0.28225917235799947,0.6362665112665113,0.7714285714285715,0.3523221223221223,1.9147939682006836
23,0.3685435021245802,0.7199872476713998,0.27997640325414064,0.6415671483904566,0.8,0.35283827283827285,1.8861558437347412
24,0.34845943096521736,0.7198308859552656,0.28146616522125617,0.6525283446712018,0.8285714285714286,0.35712398712398713,1.2826926708221436
25,0.33746295651874025,0.7223987766674587,0.2807262837607808,0.634251700680272,0.8,0.3504573204573204,1.4400709867477417
26,0.3252343419435862,0.7245636207716806,0.28215442273113034,0.6342782698665053,0.8285714285714286,0.35210567210567206,2.5738790035247803
27,0.3182862872207487,0.727898303100041,0.275506506889472,0.6088376160180672,0.8285714285714286,0.3544866244866245,1.8948018550872803
28,0.30913299128815935,0.724307542187827,0.27647492138381113,0.6199414981303526,0.7714285714285715,0.3525024975024975,1.0837430953979492
29,0.2971460440674344,0.7308972648211888,0.2754224155737883,0.6338302885256666,0.8,0.35845487845487845,2.0502448081970215
