label,condition_pair_count,transformation_count
"NAME:(r,r)-me-duphos",4,1
NAME:[rh(nbd)2]+bf4-,4,1
SMILES:CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.Nc1ccccc1-c1cccc[c]1[Pd][Cl],4,1
NAME:c1-304,3,1
NAME:c1-350,3,1
NAME:catacxium a,3,1
NAME:ruphos pd g3,3,1
SMILES:O=C(O)C(=O)O,3,1
SMILES:[Cl][Pd][Cl].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,3,1
NAME:(dhq)2aqn,2,1
NAME:(r)-(+)-xylbinap,2,1
NAME:(r)-tcfp-rh,2,1
"NAME:(r,r)-[cod]ir[cy2pthrephox]",2,1
"NAME:(ra,s)-ph-bn-siphox",2,1
NAME:(s)-binapine-rh,2,1
"NAME:(s,s,r,r)-tangphos-rh",2,1
NAME:[nh2me2][{rucl((r)-segphosã‚â®)}2(ã‚âμ-cl)3],2,1
NAME:[ru(phen)3]cl2,2,1
NAME:naud sl-n011-2,2,1
NAME:ru(bpy)3,2,1
NAME:ru(oac)2[(r)-dtbm-segphosã‚â®],2,1
NAME:xanthphos pd g2,2,1
SMILES:CC(=O)OI1(OC(C)=O)(OC(C)=O)OC(=O)c2ccccc21,2,1
SMILES:CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,2,1
SMILES:CCN(CC)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,2,1
SMILES:CN(C)CC(C)(C)CN,2,1
SMILES:CN(C)c1cccc2cccc(N(C)C)c12,2,1
SMILES:COc1ccc(OC)c(NC(=O)Nc2ccc([N+](=O)[O-])cc2OC)c1,2,1
SMILES:N=C(N)c1cccc(C(=N)N)n1,2,1
SMILES:O=P1(O)Oc2c(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc3ccccc3c2-c2c(c(-c3cc(C(F)(F)F)cc(C(F)(F)F)c3)cc3ccccc23)O1,2,1
SMILES:O=[N+]([O-])[O-].O=[N+]([O-])[O-].[Cu+2].c1cnc2c(c1)ccc1cccnc12,2,1
SMILES:c1cc[c]([Ir]([c]2ccccc2-c2nccc3ccccc23)[c]2ccccc2-c2nccc3ccccc23)c(-c2nccc3ccccc23)c1,2,1
SMILES:c1ccc(-c2sc3ccccc3[c]2[Ir]([c]2c(-c3ccccn3)sc3ccccc23)[c]2c(-c3ccccn3)sc3ccccc23)nc1,2,1
SMILES:c1ccc(C(Nc2ccccn2)Nc2ccccn2)cc1,2,1
NAME:(amphos)pd(allyl)cl,1,1
NAME:(crotyl)chloro(amphos)palladium (ii),1,1
NAME:(dtbnpp)pd(allyl)cl,1,1
NAME:(ir[df(4cf3)ppy]2(dtbpy))pf6 - dark,1,1
NAME:(nhc)pd(imd)cl,1,1
"NAME:(r)-(+)-meo-biphep, sl-a101-1",1,1
NAME:(r)-c3-tunephos-ru,1,1
NAME:(r)-dm-segphos,1,1
"NAME:(r)-rucy\""-xylbinap-ru",1,1
NAME:(r)-sdp,1,1
"NAME:(r,r)-dipamp",1,1
"NAME:(r,r)-et-duphos-rh",1,1
"NAME:(r,r)-quinoxp*",1,1
"NAME:(ra,s)-dtb-bn-siphox",1,1
NAME:(s)-methyl bophoz,1,1
NAME:(s)-methylbophoz,1,1
NAME:(s)-rubinap-cl2,1,1
"NAME:(s)-rucy\""-xylbinap",1,1
"NAME:(s,s)-me-bpf",1,1
"NAME:2,2bndmdie",1,1
NAME:3g oms jackiephos,1,1
NAME:3g oms ruphos,1,1
NAME:3g oms sphos,1,1
NAME:[nh2me2][{rucl((r)-dm-segphos)}2(?-cl)3],1,1
NAME:[rucl(p-cymene)((r)-segphos)]cl,1,1
NAME:acridine catalyst,1,1
NAME:brettphos palladacycle,1,1
NAME:brettphos pd 2g,1,1
NAME:catacxium picy,1,1
NAME:chenphos,1,1
NAME:cphos-pd-g3,1,1
NAME:cth-(r)-binam,1,1
NAME:dcyhpe.bf4,1,1
NAME:dppb,1,1
NAME:dppp,1,1
NAME:fe(phen)3,1,1
NAME:mandyphos sl-m002-1,1,1
NAME:mandyphossl-m002-1,1,1
NAME:mandyphossl-m009-1,1,1
NAME:methyl-butiphanesk-p005-2a,1,1
NAME:naud sl-n012-2,1,1
NAME:naud sl-n013-1,1,1
NAME:nauds-iprligand,1,1
NAME:naudsl-n004-1,1,1
NAME:naudsl-n008-2,1,1
NAME:ppm,1,1
NAME:r-josiphos sl-j011-1,1,1
NAME:r-josiphossl-j001-1,1,1
NAME:r-josiphossl-j003-1,1,1
NAME:rucl2[(r)-xylbinap][(r)-daipen,1,1
NAME:rucl2[(s)-xylbinap][(s)-daipen],1,1
NAME:ruphos pd g4,1,1
NAME:sl-j014-1,1,1
NAME:sl-j216-2,1,1
NAME:sl-j505-1,1,1
NAME:sphos pd g3,1,1
NAME:taniaphos sl-t002-1,1,1
NAME:taniaphossl-t002-1,1,1
NAME:tbu3p.bf4,1,1
NAME:trifer,1,1
NAME:walphossl-w002-1,1,1
NAME:walphossl-w003-1,1,1
NAME:walphossl-w008-1,1,1
NAME:walphossl-w022-2,1,1
NAME:ws ruphos,1,1
SMILES:C1=CCCC=CCC1.CC1C(C)C(C)C(C)C1C.[Cl][Ru],1,1
SMILES:C1CCC(P(C2CCCCC2)C2CCCC2)CC1.C1CCCC1.C[C@@H](C1CCCC1P(c1ccccc1)C1CCCC1)N(C)C.[Fe].[Fe],1,1
SMILES:C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCCC2)CC1.[Cl][Ni][Cl],1,1
SMILES:C1CCCC1.CC(C)(C)[C@@H]1COC(C2CCCC2P(c2ccccc2)c2ccccc2)=N1.[Fe],1,1
SMILES:C1CCCC1.CC(C)[C@H]1COC(C2CCCC2P(c2ccccc2)c2ccccc2)=N1.[Cl][Ru][Cl].[Fe].c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,1
SMILES:C1CCCC1.CN(C)[C@@H](c1ccccc1P(C1CCCCC1)C1CCCCC1)C1CCCC1P(C1CCCCC1)C1CCCCC1.[Fe],1,1
SMILES:C1CCCC1.COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)C2CCCC2[C@@H](C)P(C2CCCCC2)C2CCCCC2)cc1C.[Fe],1,1
SMILES:C1CCCC1.COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)C2CCCC2[C@@H](C)P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)cc1C.[Fe],1,1
SMILES:C1CCCC1.COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)C2CCCC2[C@H](C)P(C(C)(C)C)C(C)(C)C)cc1C.[Fe],1,1
SMILES:C1CCCC1.COc1c(C)cc(P(c2cc(C)c(OC)c(C)c2)c2ccccc2C2CCCC2[C@H](C)P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)c2cc(C(F)(F)F)cc(C(F)(F)F)c2)cc1C.[Fe],1,1
SMILES:C1CCCC1.C[C@@H](C1CCCC1P(c1cccc2ccccc12)c1cccc2ccccc12)P(C(C)(C)C)C(C)(C)C.[Fe],1,1
SMILES:C1CCCC1.C[C@H](C1CCCC1P(C(C)(C)C)C(C)(C)C)P(c1ccccc1)c1ccccc1.[Fe],1,1
SMILES:C1CCCC1.C[C@H](C1CCCC1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1)P(C1CCCCC1)C1CCCCC1.[Fe],1,1
SMILES:C1CCCC1.Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@@H](C)C2CCCC2P(c2cccc3ccccc23)c2cccc3ccccc23)c1.[Fe],1,1
SMILES:C1CCCC1.Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@@H](C)C2CCCC2P(c2ccccc2)c2ccccc2)c1.[Fe],1,1
SMILES:C1CCCC1.Cc1ccccc1P(c1ccccc1C)[C@@H](C)C1CCCC1P(c1ccco1)c1ccco1.[Fe],1,1
SMILES:C1CCCC1.Cc1ccccc1P(c1ccccc1C)[C@H](C)C1CCCC1P(C(C)(C)C)C(C)(C)C.[Fe],1,1
SMILES:CC(=C(c1ccccc1)c1ccccc1)P(C1CCCCC1)C1CCCCC1,1,1
SMILES:CC(C)(C)C1CC(P(c2ccccc2)c2ccccc2)C(P(c2ccccc2)c2ccccc2)C1.CC(C)P(C(C)C)C1CCC(C(C)(C)C)C1.[Fe],1,1
SMILES:CC(C)(C)CP(C(C)(C)C)C(C)(C)C.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],1,1
SMILES:CC(C)(C)P1Cc2ccc3ccccc3c2-c2c(ccc3ccccc23)[C@H]1[C@@H]1c2ccc3ccccc3c2-c2c(ccc3ccccc23)CP1C(C)(C)C,1,1
SMILES:CC(C)(C)P1Cc2ccccc2[C@@H]1[C@H]1c2ccccc2CP1C(C)(C)C,1,1
SMILES:CC(C)(C)c1cc(P(c2cc(C(C)(C)C)cc(C(C)(C)C)c2)c2cccc3c2C2(CCc4cccc(C5=N[C@@H](Cc6ccccc6)CO5)c42)CC3)cc(C(C)(C)C)c1,1,1
SMILES:CC(C)(C)c1ccc([C@H]2COC(/C(C#N)=C3/N[C@@H](c4ccc(C(C)(C)C)cc4)CO3)=N2)cc1,1,1
SMILES:CC(C)(C)c1ccnc(-c2cc(C(C)(C)C)cc(-c3cc(C(C)(C)C)ccn3)n2)c1,1,1
SMILES:CC(C)Oc1cccc(OC(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.COC(C)(C)C.NCCc1cccc[c]1[Pd][Cl],1,1
SMILES:CC(C)[C@H]1CC[C@H](C(C)C)P1c1ccccc1P1[C@@H](C(C)C)CC[C@@H]1C(C)C,1,1
SMILES:CC(C)[C@H]1COC(c2cccc(C3=N[C@@H](C(C)C)CO3)n2)=N1,1,1
SMILES:CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],1,1
SMILES:CC(C)c1cc(C(C)C)c(-c2ccccc2P(C2CCCCC2)C2CCCCC2)c(C(C)C)c1.COC(C)(C)C.NCCc1cccc[c]1[Pd][Cl],1,1
SMILES:CC(C)c1cc(S(=O)(=O)[O-])cc(C(C)C)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.[Na+],1,1
SMILES:CC(C)c1cccc(C(C)C)c1N1C=[N+](c2c(C(C)C)cccc2C(C)C)CC1.[Cl-],1,1
SMILES:CC1(C)O[C@H](CP(c2ccccc2)c2ccccc2)[C@@H](CP(c2ccccc2)c2ccccc2)O1,1,1
SMILES:CC1C(C)C(C)C(C)C1C.[Cl][Ru].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1,1,1
SMILES:CC1CCC(C(C)C)CC1.CC1CCC(C(C)C)CC1.[I][Ru]1[IH][Ru]([I])[IH]1,1,1
SMILES:CCN(CC)CCn1c2cc(Cl)ccc2c(=O)c2c(C)nn(C)c21,1,1
SMILES:CN(C(=S)SSC(=S)N(C)c1cccc([N+](=O)[O-])c1)c1cccc([N+](=O)[O-])c1,1,1
SMILES:CN(C)[C@@H](c1ccccc1)C1CCCC1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.CN(C)[C@@H](c1ccccc1)C1CCCC1P(c1cc(C(F)(F)F)cc(C(F)(F)F)c1)c1cc(C(F)(F)F)cc(C(F)(F)F)c1.[Fe],1,1
SMILES:CN(C)[C@H](c1ccccc1)C1CCCC1P(C1CCCCC1)C1CCCCC1.CN(C)[C@H](c1ccccc1)C1CCCC1P(C1CCCCC1)C1CCCCC1.[Fe],1,1
SMILES:CN(C)c1ccc(P(C(C)(C)C)C(C)(C)C)cc1.Nc1ccccc1-c1cccc[c]1[Pd][Cl],1,1
SMILES:CN1CCN(C)CCN(C)CC1,1,1
SMILES:CNc1ccccc1-c1cccc[c]1[Pd+].COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1.CS(=O)(=O)[O-].ClCCl,1,1
SMILES:COc1cc(P(c2cc(C)cc(C)c2)c2cc(C)cc(C)c2)c(-c2c(P(c3cc(C)cc(C)c3)c3cc(C)cc(C)c3)cc(OC)nc2OC)c(OC)n1,1,1
SMILES:COc1cc(P(c2ccccc2)c2ccccc2)c(-c2c(P(c3ccccc3)c3ccccc3)cc(OC)nc2OC)c(OC)n1,1,1
SMILES:COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C,1,1
SMILES:COc1ccc(C)c(-c2c(C(C)C)cc(C(C)C)cc2C(C)C)c1P(C(C)(C)C)C(C)(C)C.CS(=O)(=O)[O-].Nc1ccccc1-c1cccc[c]1[Pd+],1,1
SMILES:COc1ccccc1-n1cccc1P(C1CCCCC1)C1CCCCC1,1,1
SMILES:COc1ccnc2c1ccc1c(OC)ccnc12,1,1
SMILES:CS(=O)(=O)N[C@@H](c1ccccc1)[C@@H](N)c1ccccc1,1,1
SMILES:C[C@@H](C[C@H](C)P(c1ccccc1)c1ccccc1)P(c1ccccc1)c1ccccc1,1,1
SMILES:C[C@@H](c1ccccc1)N([C@@H](C)c1ccccc1)p1oc2ccc3ccccc3c2c2c(ccc3ccccc32)o1,1,1
SMILES:Cc1cc(C)c(N2C=[N+](c3c(C)cc(C)cc3C)CC2)c(C)c1.[Cl-],1,1
SMILES:Cc1cc(C)cc(P(c2cc(C)cc(C)c2)[C@H](C)C2CCCC2)c1.FC(F)(F)c1cc(P(c2cc(C(F)(F)F)cc(C(F)(F)F)c2)C2CCCC2)cc(C(F)(F)F)c1.[Fe],1,1
SMILES:Cc1ccc(P(c2ccc(C)o2)C2CCCC2)o1.Cc1ccc(P(c2ccc(C)o2)C2CCCC2)o1.[Fe],1,1
SMILES:Cc1ccc(S(=O)(=O)N[C@@H](c2ccccc2)[C@@H](N)c2ccccc2)cc1,1,1
SMILES:Cc1ccc(S(=O)(=O)N[C@H]2CCCC[C@@H]2NS(=O)(=O)c2ccc(C)cc2)cc1,1,1
SMILES:Cc1ccccc1-c1ccccc1P(C(C)(C)C)C(C)(C)C,1,1
SMILES:FC1(F)Oc2ccc(P(c3ccccc3)c3ccccc3)c(-c3c(P(c4ccccc4)c4ccccc4)ccc4c3OC(F)(F)O4)c2O1,1,1
SMILES:F[B-](F)(F)F.c1ccc(CCCC2([P+](C3CCCCC3)C3CCCCC3)c3ccccc3-c3ccccc32)cc1,1,1
SMILES:Fc1c(F)c(F)c(P(CCP(c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,1,1
SMILES:[Cl][Ni]([c]1cccc2ccccc12)([PH](c1ccccc1)(c1ccccc1)c1ccccc1)[PH](c1ccccc1)(c1ccccc1)c1ccccc1,1,1
SMILES:[Fe].c1ccc2c3c(ccc2c1)CP(C1CCCC1)Cc1ccc2ccccc2c1-3.c1ccc2c3c(ccc2c1)CP(C1CCCC1)Cc1ccc2ccccc2c1-3,1,1
SMILES:c1ccc(-n2c(P(C3CCCCC3)C3CCCCC3)cc3ccccc32)cc1,1,1
SMILES:c1ccc(C[C@H]2COC(C3=N[C@@H](Cc4ccccc4)CO3)=N2)cc1,1,1
SMILES:c1ccc(C[C@H]2COC(c3cccc4c3C3(CC4)CCc4cccc(P(c5ccccc5)c5ccccc5)c43)=N2)cc1,1,1
SMILES:c1ccc(P(Nc2ccc3c(c2-c2c(NP(c4ccccc4)c4ccccc4)ccc4c2CCCC4)CCCC3)c2ccccc2)cc1,1,1
SMILES:c1ccc(P(c2ccccc2)c2cc3ccc2CCc2ccc(c(P(c4ccccc4)c4ccccc4)c2)CC3)cc1,1,1
SMILES:c1ccc(P(c2ccccc2)c2ccc3c(c2-c2c(P(c4ccccc4)c4ccccc4)ccc4c2OCO4)OCO3)cc1,1,1
SMILES:c1ccc(P(c2ccccc2)c2cccc3c2-c2c(cccc2P(c2ccccc2)c2ccccc2)OCCCO3)cc1,1,1
SMILES:c1ccc(P(c2ccccc2)c2cccc3c2Oc2c(cccc2P(c2ccccc2)c2ccccc2)N3)cc1,1,1
SMILES:c1ccc([C@H]2COC(CC3=N[C@@H](c4ccccc4)CO3)=N2)cc1,1,1
SMILES:c1ccc([C@H]2COC(c3cccc(C4=N[C@@H](c5ccccc5)CO4)n3)=N2)cc1,1,1
SMILES:c1ccc2[nH]cnc2c1,1,1
