label,condition_pair_count,transformation_count
NAME:3g oms rockphos,10,6
NAME:neocuproine.0.5h2o,9,6
SMILES:CN[C@@H]1CCCC[C@H]1NC,9,6
SMILES:CN(C)CCN(C)C,8,6
SMILES:C1=CCCC=CCC1.C1=CCCC=CCC1.[Cl][Ir].[Cl][Ir],61,5
NAME:rani 4200,24,5
SMILES:CC(C)(C)P(C(C)(C)C)C(C)(C)C,20,5
NAME:sphos pd g4,16,5
SMILES:Cc1ccccc1P(c1ccccc1C)c1ccccc1C,16,5
NAME:pd(oac)2,13,5
SMILES:CC(C)(C)[P+](CCCC[P+](C(C)(C)C)C(C)(C)C)C(C)(C)C.F[B-](F)(F)F.F[B-](F)(F)F,13,5
SMILES:CC(C)c1cc(C(C)C)c(-c2ccccc2P(C(C)(C)C)C(C)(C)C)c(C(C)C)c1,12,5
SMILES:Fc1c(F)c(F)c(C2=C3C=CC(=N3)C(c3c(F)c(F)c(F)c(F)c3F)=c3ccc4[n]3[Fe]([Cl])[n]3c2ccc3C(c2c(F)c(F)c(F)c(F)c2F)=C2C=CC(=N2)C=4c2c(F)c(F)c(F)c(F)c2F)c(F)c1F,10,5
SMILES:Cl.N=C(N)c1ccccn1,9,5
SMILES:COc1ccc(OC)c(P(C2CCCCC2)C2CCCCC2)c1-c1c(C(C)C)cc(C(C)C)cc1C(C)C.NCCc1cccc[c]1[Pd][Cl],8,5
SMILES:Cc1ccc2ccc3ccc(C)nc3c2n1,8,5
SMILES:N#CN=C(N)c1ccccn1,8,5
SMILES:c1ccc(P(CCCCCP(c2ccccc2)c2ccccc2)c2ccccc2)cc1,7,5
SMILES:CC(C)c1cc(C(C)C)c(-c2ccccc2[P+](C2CCCCC2)(C2CCCCC2)[Pd-]2[c]3ccccc3CC[N]2C)c(C(C)C)c1,6,5
SMILES:CNCCNC,6,5
SMILES:ON=C1CCCc2cccnc21,6,5
SMILES:[Cl][Cu][Cl].c1cnc2c(c1)ccc1cccnc12,6,5
NAME:(qphos)pd(crotyl)cl,5,5
NAME:3g oms tbubrettphos,44,4
SMILES:C1CCC([P+](CC[P+](C2CCCC2)C2CCCC2)C2CCCC2)C1.F[B-](F)(F)F.F[B-](F)(F)F,16,4
SMILES:COc1ccccc1-n1cccc1P(C(C)(C)C)C(C)(C)C,15,4
SMILES:c1coc(P(c2ccco2)c2ccco2)c1,14,4
NAME:rani 4100,13,4
SMILES:C1CCC(P(C2CCCCC2)C2CCCC2)CC1.C1CCC(P(C2CCCCC2)C2CCCC2)CC1.[Fe],10,4
SMILES:Clc1cccc(Cl)c1C1=C2C=CC(=N2)C(c2c(Cl)cccc2Cl)=c2ccc3[n]2[Co][n]2c1ccc2C(c1c(Cl)cccc1Cl)=C1C=CC(=N1)C=3c1c(Cl)cccc1Cl,10,4
SMILES:COc1cccc(OC)c1-c1ccccc1P(C1CCCCC1)C1CCCCC1,7,4
SMILES:c1ccc(C2=NCCN2)nc1,7,4
