epoch,train_loss,train_mae,max_gradient_norm,valid_mae,valid_rmse,valid_r2,valid_spearman,learning_rate,epoch_seconds
1,1.3286333712830505,4.109536093147511,332.97332763671875,1.5767829717979212,1.9845045471473042,0.32138648638982625,0.5916076165475523,0.0003,1.1865397449582815
2,0.343643550489886,1.657037817438728,38.11481475830078,1.509399226506113,1.8853249550927658,0.3875216535912077,0.674286323930709,0.0003,0.788994831033051
3,0.2880792994144957,1.4857584114850095,15.908995628356934,1.3960896662687667,1.7795914768986423,0.45429373315551036,0.7076130260824277,0.0003,0.7639121580868959
4,0.2547730779088127,1.379273373931177,11.252368927001953,1.3970145526306201,1.7801237950007214,0.4539672169025827,0.7700766408649631,0.0003,0.7557230377569795
5,0.23349773220455547,1.302326231879216,10.686259269714355,1.2022630045392286,1.6108921795024467,0.5528520404663,0.7712644739169778,0.0003,1.0492470059543848
6,0.21471707471250429,1.2322880799265943,12.60899543762207,1.1945766959177635,1.5581968493501253,0.5816276728636185,0.7945427408401455,0.0003,0.7239770656451583
7,0.20877130143184428,1.207984059375028,17.6307373046875,1.1975429646870788,1.6370877221500104,0.5381911942046564,0.7702169732995793,0.0003,0.7641281513497233
8,0.19826235416759366,1.1789850179834418,13.348480224609375,1.0520648529608123,1.4651029524759196,0.6301253270794998,0.8082533058699287,0.0003,0.7893714681267738
9,0.18937605525578396,1.1507028142326785,10.037640571594238,1.1423352714742183,1.5973976089183777,0.5603122489637858,0.7879627386710621,0.0003,0.7804251983761787
10,0.18783627772123057,1.1446083400845357,12.841033935546875,1.1567587249180968,1.577167857144449,0.5713783122206909,0.7647102590634497,0.0003,0.7575948340818286
11,0.17414525431955982,1.0926019825295121,12.278319358825684,1.0893648112767484,1.5159012760639248,0.6040319506628655,0.7918839392184647,0.0003,0.7218240052461624
12,0.16227861518355452,1.0402020285950668,7.479405879974365,1.0724950108709312,1.4570945002667108,0.6341578463655099,0.8153810101600593,0.0003,0.7551420135423541
13,0.16888667039856883,1.071331893479691,9.244857788085938,0.9909603958401747,1.4371602065628364,0.6440994377272519,0.8263987896776267,0.0003,0.7656096806749701
14,0.15559153493857472,1.010596935229625,6.788970947265625,0.9913142399997119,1.4143830819850312,0.6552911664075267,0.8371301584782966,0.0003,0.7245720783248544
15,0.16022777536043015,1.03638752681493,8.79905891418457,1.0353822403751012,1.4733285473162965,0.6259604595538125,0.8263276925140399,0.0003,0.785709292627871
