epoch,train_loss,train_mae,max_gradient_norm,learning_rate,epoch_seconds
1,1.6714764638811481,4.9532406495822245,294.45654296875,0.0003,0.7884291037917137
2,0.3128843033582476,1.5685183692889133,21.578655242919922,0.0003,0.7285774648189545
3,0.2704987933431182,1.4259520471581237,20.397375106811523,0.0003,0.7705028364434838
4,0.23954429888844714,1.328145116377265,15.566239356994629,0.0003,0.7405515257269144
5,0.21407367331614402,1.2376806212576315,11.540838241577148,0.0003,0.7576456982642412
6,0.2073349287734602,1.2156989157908995,14.086105346679688,0.0003,0.748004699125886
7,0.19629161239752713,1.1721952750075215,13.179692268371582,0.0003,0.8186786929145455
8,0.19122982672978434,1.157505363125165,14.753246307373047,0.0003,0.7259297212585807
9,0.1753397790618292,1.0923629450215797,9.654500007629395,0.0003,0.7326062880456448
10,0.18018496179849414,1.113385205636117,12.915289878845215,0.0003,0.681661638431251
11,0.1695464558465524,1.0703573581645394,10.880523681640625,0.0003,0.7024108562618494
12,0.16636360427627134,1.0589274426139588,10.290533065795898,0.0003,0.7538189459592104
13,0.16375839111576546,1.0480866701511868,12.93014907836914,0.0003,0.702986590564251
14,0.151786622143792,1.0032777503198136,9.838672637939453,0.0003,0.7058359971269965
15,0.14955938366255167,0.9950584177531969,8.648430824279785,0.0003,0.7011474035680294
16,0.151029342340169,1.0025256109745262,8.635640144348145,0.0003,0.7290465831756592
17,0.14749928113066113,0.9893963201686451,7.1568732261657715,0.0003,0.7395982798188925
18,0.13850908437854587,0.9564399628469029,7.300564765930176,0.0003,0.7119184266775846
19,0.13634268094505006,0.9468960885637315,7.775897979736328,0.0003,0.7021243628114462
20,0.1398404315757841,0.9624284356104708,8.415700912475586,0.0003,0.7468819646164775
21,0.13318636541020967,0.9331247328517582,5.046031951904297,0.0003,0.701456930488348
22,0.13256432208779012,0.9240338152919475,7.849725246429443,0.0003,0.7099270299077034
23,0.13594390028293385,0.9472488947935827,9.002924919128418,0.0003,0.8515158016234636
24,0.13220973178679002,0.9196790505291599,7.4317402839660645,0.0003,0.6979648722335696
25,0.1353807492943279,0.9393173800607585,7.884665489196777,0.0003,0.7078219382092357
26,0.13244895891484126,0.9230036525929355,8.67233657836914,0.0003,0.7551139993593097
27,0.12762213810653186,0.9043461789469758,8.268966674804688,0.0003,0.8708834992721677
28,0.12426789534338281,0.8990348409844997,9.967560768127441,0.0003,0.7415125798434019
29,0.12641751002392027,0.9049699576705713,10.223907470703125,0.0003,0.7565322136506438
30,0.12200039081373436,0.8899549452005958,5.5136823654174805,0.0003,0.7771983677521348
31,0.1250266739537586,0.8993122098441414,8.098764419555664,0.0003,0.7535596247762442
32,0.1188224231396232,0.8676313210369724,5.769407749176025,0.0003,0.7348105162382126
33,0.12156433324442106,0.8839463422055086,6.374196529388428,0.0003,0.724887190386653
34,0.12017845997940248,0.8771662894232839,8.853251457214355,0.0003,0.8961829487234354
35,0.12047017357576319,0.8788212918906788,8.186986923217773,0.0003,0.7196988230571151
36,0.11754979592098919,0.8670683825546006,6.276000499725342,0.0003,0.7034573052078485
37,0.11826777855679627,0.871899418839829,6.533844470977783,0.0003,0.7357864882797003
38,0.11513672219863443,0.8612737389303553,8.922507286071777,0.0003,0.698241988196969
39,0.11570386911043168,0.8598107344520488,5.800297737121582,0.0003,0.7126410389319062
40,0.11568234667564528,0.8636034765464482,10.395602226257324,0.0003,0.7303821891546249
41,0.11494729604733013,0.8516340271263624,6.354979038238525,0.0003,0.7485309354960918
42,0.11413400912460268,0.849495869483064,7.50167179107666,0.0003,0.7549085831269622
43,0.11309949988376818,0.8495720502056774,5.545713901519775,0.0003,0.7245464026927948
44,0.11480547165172729,0.8541811967538011,7.233723163604736,0.0003,0.6972595304250717
45,0.11101560729346428,0.838936431063065,7.159437656402588,0.0003,0.7177147902548313
46,0.10852195847366627,0.8264353055243352,7.346933841705322,0.0003,0.7156353341415524
47,0.10970113265305366,0.8331980629421132,8.249874114990234,0.0003,0.7430749274790287
48,0.10826510570444162,0.8270202803925267,7.319882392883301,0.0003,0.7027271809056401
49,0.10551188556044715,0.8171896751179274,10.630297660827637,0.0003,0.7551218420267105
50,0.10668045679572678,0.8165794214906734,6.812775135040283,0.0003,0.6875388799235225
51,0.10682735324521772,0.8233743050132756,6.315557479858398,0.0003,0.6977478936314583
52,0.1044117597393043,0.8122199596579401,7.251655101776123,0.0003,0.7763065956532955
53,0.10832059641293458,0.8308024746220636,7.157824993133545,0.0003,0.7355781393125653
54,0.10869291460674557,0.8274458248016606,5.7465410232543945,0.0003,0.7025565756484866
55,0.10554044186117206,0.8202270479148526,6.3884501457214355,0.0003,0.8218574421480298
56,0.10585750727427327,0.8198684577726915,6.820815086364746,0.0003,0.7390241445973516
57,0.10598651559728343,0.8191943666079526,8.084244728088379,0.0003,0.7551929736509919
58,0.10021063837974462,0.7926949259185313,6.750807762145996,0.0003,0.7358668185770512
59,0.10217457476375845,0.8050089650401938,6.572843074798584,0.0003,0.8032640935853124
60,0.10245635891490679,0.7994671252494913,6.647783279418945,0.0003,0.7491121804341674
61,0.10022216040638737,0.7936356818593885,8.92973804473877,0.0003,0.8067376827821136
62,0.097752006872602,0.7860124324065264,7.387314796447754,0.0003,0.7068958794698119
63,0.10305526935464528,0.8017745049655176,16.584596633911133,0.0003,0.7584242774173617
64,0.10391997478683068,0.8023705039982805,9.984930038452148,0.0003,0.7615583632141352
65,0.0995681487457709,0.7908280833034719,9.797709465026855,0.0003,0.7632780065760016
66,0.10551453623535786,0.8188544180815714,7.940395832061768,0.0003,0.7487336294725537
67,0.09834654235940615,0.7882155564701699,6.652699947357178,0.0003,0.6980622103437781
68,0.09740673882482047,0.7786522833645605,5.879124164581299,0.0003,0.7104352116584778
69,0.0978872095532692,0.781080081870426,5.727071285247803,0.0003,0.8416977887973189
70,0.09661204736159605,0.7772721411813104,9.197280883789062,0.0003,0.7178940093144774
71,0.095445727862525,0.7690664115814992,8.17138385772705,0.0003,0.7793420935049653
72,0.09718789719908254,0.7768341437084793,5.886649131774902,0.0003,0.7573565999045968
73,0.09428352380758087,0.7655115780863228,8.733500480651855,0.0003,0.7720856424421072
74,0.09268279897892333,0.7604928023231425,9.096596717834473,0.0003,0.7515764040872455
75,0.09362215330321563,0.7645362342829696,7.4622931480407715,0.0003,0.7913588443771005
76,0.0926523056937966,0.7616948151036061,7.3926262855529785,0.0003,0.7561266385018826
77,0.09488261289050151,0.7702560281484815,6.484957218170166,0.0003,0.7149253487586975
78,0.09253587279009237,0.7580688127817478,6.18289041519165,0.0003,0.7757869446650147
79,0.09115744626421292,0.7576794666727409,5.758066177368164,0.0003,0.7997518228366971
80,0.09203728417922499,0.7579375637868978,6.7756452560424805,0.0003,0.7513587512075901
81,0.0914043544939181,0.7582835312701794,6.373587608337402,0.0003,0.7393514793366194
82,0.08889630422061431,0.7407179601355202,9.44152545928955,0.0003,0.7339342646300793
83,0.09606092309085891,0.7754418150364942,7.349982738494873,0.0003,0.8587193666025996
84,0.09283027448595205,0.7594332146211646,7.903320789337158,0.0003,0.8067290410399437
85,0.09113388595520591,0.7484504608937779,11.4356689453125,0.0003,0.7940187361091375
86,0.08715031676708196,0.7314809647514138,6.267777919769287,0.0003,0.7488614926114678
87,0.08812763749078877,0.7396932674782979,7.330124855041504,0.0003,0.7683461084961891
88,0.08753238235067859,0.7343036400801551,6.999939441680908,0.0003,0.7421588208526373
