epoch,train_loss,train_mae,max_gradient_norm,valid_mae,valid_rmse,valid_r2,valid_spearman,learning_rate,epoch_seconds
1,1.7401339985570539,4.782282445357505,312.40093994140625,2.239128830385922,2.5875692712424407,-0.15386009699351066,0.18690444683678337,0.0003,1.1464256308972836
2,0.4271985480345867,1.7633974285144636,65.1415023803711,2.067924487449547,2.49520091902405,-0.07295183816781003,0.3643908602357667,0.0003,0.8366344105452299
3,0.32598365623839903,1.4913612569878902,52.187259674072266,2.0381283638131293,2.468916570059332,-0.05046603209116807,0.37887810451528575,0.0003,0.7414248613640666
4,0.31585646054317035,1.4626613817318934,33.34368896484375,1.9818045988419573,2.5696104390478522,-0.13789911739233696,0.42776243500927214,0.0003,0.7577702356502414
5,0.26513485635000367,1.320719342567285,17.01062774658203,2.0151204677064647,2.5275420146893857,-0.10094583216141895,0.513860734397981,0.0003,0.7431673342362046
6,0.25157240744979226,1.2722018813708846,21.53813934326172,1.9099758116066294,2.4547569664373694,-0.038451426180121206,0.48942156648779167,0.0003,0.7287067212164402
7,0.23286017393924083,1.2171122313727236,15.140737533569336,1.8732461774323,2.6271609624059793,-0.18944002659024028,0.4865179845208738,0.0003,0.7256865417584777
8,0.22494211714083423,1.1895419284302604,28.129375457763672,1.9284860476478063,2.592296691423657,-0.1580800917506091,0.540485490042264,0.0003,0.8192361323162913
9,0.21252708415564509,1.1501460609398229,15.892563819885254,1.7678335648001138,2.361733110683385,0.03876224312887799,0.5447944256235324,0.0003,0.6921507501974702
10,0.19900949754492853,1.1081269021313065,14.53844928741455,1.8186503312312507,2.6600184143143673,-0.2193783248332586,0.5011445677280745,0.0003,0.8645623531192541
11,0.1969435428545189,1.0940471554653142,15.071613311767578,1.6707864649197464,2.3186901920348593,0.0734803495357147,0.5337296303008193,0.0003,0.7563694147393107
12,0.20869738502415014,1.1370486491026561,19.197019577026367,1.6107759162171849,2.0511734296110378,0.27493999618670084,0.5972393306715719,0.0003,0.7577812597155571
13,0.19336632542437676,1.078607480188073,13.520208358764648,1.6615061069043198,2.160086245796545,0.19589758237478683,0.6082670644534555,0.0003,0.744097264483571
14,0.17235839025766336,1.015722122419223,7.64376974105835,1.682458642599938,2.131370347513913,0.21713473631786773,0.639721602872736,0.0003,0.733698938973248
15,0.18351943519176883,1.058746918601725,16.157377243041992,1.6419724616640625,2.076850326028378,0.256673556732152,0.6360360483944427,0.0003,0.7398380553349853
16,0.17401674175404228,1.0219304306892267,13.44904899597168,1.830040371221004,2.362535737090132,0.03810878579994725,0.6088539863216167,0.0003,0.9820641912519932
17,0.1681196320370002,0.9963451540505567,8.849137306213379,1.7731505152313625,2.1787795033129553,0.18192005388440435,0.6482838522020781,0.0003,0.7239508470520377
18,0.18364391801998803,1.0473623436435362,23.27583122253418,1.5641433605299804,2.2138769334303454,0.1553512661097909,0.6295523878469097,0.0003,0.7682756409049034
19,0.16293941868544806,0.9759962159412939,11.798081398010254,1.5510215922274238,2.228873967660228,0.14386902846576233,0.6184127250403495,0.0003,0.7514855852350593
20,0.1549809527674799,0.9516355077858841,9.2337646484375,1.5611660184535485,1.9596732482282286,0.33818514230280006,0.6778287314077607,0.0003,0.7326298942789435
21,0.15524516451967246,0.9516998850554966,11.08781623840332,1.4370469456532617,1.8931566043796662,0.3823502550434019,0.6881461242739708,0.0003,0.7605630801990628
22,0.14927423914785545,0.929041036978231,9.182448387145996,1.4204339127946046,1.9032346422479411,0.37575675316922685,0.6560109753982712,0.0003,0.6970471572130919
23,0.14558216911418467,0.9180130367827251,10.136852264404297,1.4675372272014355,1.8939302671815568,0.3818453308638837,0.6857117420499366,0.0003,0.7175019979476929
