epoch,train_loss,train_mae,max_gradient_norm,learning_rate,epoch_seconds
1,1.7153664627818668,5.063912586458191,287.29461669921875,0.0003,0.8130035735666752
2,0.33550633051355105,1.6302279974567793,32.02302169799805,0.0003,1.0813247924670577
3,0.2778559287768569,1.4492975859621129,37.51244354248047,0.0003,0.8008238412439823
4,0.24244914950993035,1.334792773127929,14.142720222473145,0.0003,0.7219006037339568
5,0.22250242782295981,1.262822676093114,11.903846740722656,0.0003,0.7333569535985589
6,0.2076024974370346,1.2032494742644901,15.305636405944824,0.0003,0.7433217549696565
7,0.18899100865881818,1.1461251380074824,11.29364013671875,0.0003,0.7546309931203723
8,0.1870681109619499,1.1335182070508178,9.944911003112793,0.0003,0.7441758224740624
9,0.17711957623492797,1.0974383627091935,6.618659973144531,0.0003,0.7069281199947
10,0.17187695494463986,1.0793274298412918,12.35326099395752,0.0003,0.8050094358623028
11,0.1725134294389111,1.0745172852938372,9.128886222839355,0.0003,0.7895392226055264
12,0.16771671972613672,1.0591438073699895,7.650069713592529,0.0003,0.7311859792098403
13,0.16090918498331858,1.0375187357291626,8.122490882873535,0.0003,0.7394387302920222
14,0.1598158322783209,1.035962001965355,10.587403297424316,0.0003,0.7564434744417667
15,0.15225617150328796,1.0004344799254339,8.093631744384766,0.0003,0.7498931298032403
16,0.14831566180970868,0.9822226030496635,5.735864162445068,0.0003,0.7393112061545253
17,0.1476336430480649,0.9750283128407573,9.486519813537598,0.0003,0.721792153082788
18,0.14811609140506893,0.9851734197206922,9.245262145996094,0.0003,0.7736110324040055
19,0.14113653616451366,0.9546941533862014,9.119909286499023,0.0003,0.7540063308551908
20,0.13792399693940607,0.9396026212421147,6.146231651306152,0.0003,0.760608896613121
21,0.13911337217242553,0.949233376270693,7.452590465545654,0.0003,0.7428054716438055
22,0.1360184145313393,0.9350965591841515,13.758359909057617,0.0003,0.7303689513355494
23,0.1402297269648586,0.9515462331945028,10.389914512634277,0.0003,0.8419607132673264
24,0.13845999180038945,0.9469169143743641,7.959869861602783,0.0003,0.7503901328891516
25,0.13218033896081507,0.9130260059067661,7.828816890716553,0.0003,0.9101373599842191
26,0.13032584932534189,0.9111836480586769,7.702077388763428,0.0003,0.7457378627732396
27,0.12702696151896126,0.8974247740743753,6.8964385986328125,0.0003,0.7462005792185664
28,0.12904797717229083,0.9046019719553203,6.466095447540283,0.0003,0.751161390915513
29,0.1259138735014719,0.8863674295194909,6.553498268127441,0.0003,0.7638791827484965
30,0.1234055277233058,0.883897491149329,8.155545234680176,0.0003,0.746261184103787
31,0.1255698722474039,0.8987224839221857,9.364978790283203,0.0003,0.7318639727309346
32,0.11991357705185543,0.8731452941894531,7.817930221557617,0.0003,0.752588483504951
33,0.11635283547673438,0.854530815549694,4.9467549324035645,0.0003,0.6837923331186175
34,0.1218724641834637,0.8742070359891104,6.656457424163818,0.0003,0.7413649875670671
35,0.11952359251253442,0.8693442944817492,5.787294387817383,0.0003,0.7243620026856661
36,0.1186858175094977,0.8621413639954798,5.204700469970703,0.0003,0.7578444108366966
37,0.1176690479331115,0.8579134554734585,6.270392894744873,0.0003,0.7519561126828194
38,0.11830428742436819,0.8609349661046591,7.167379379272461,0.0003,0.8508525853976607
39,0.11715829807964055,0.8592502887799879,7.262402057647705,0.0003,0.7610591063275933
40,0.11785413122729503,0.8612064836916509,7.331580638885498,0.0003,0.7474358044564724
41,0.11544808595719454,0.8536674294086568,5.939992427825928,0.0003,0.7595839574933052
42,0.1139818166102106,0.8448507592016709,8.288233757019043,0.0003,0.7366428291425109
43,0.11268349512711717,0.836629312666939,5.910281181335449,0.0003,0.7555827721953392
44,0.11239054590071748,0.8417266745379215,4.958629131317139,0.0003,0.7823724579066038
45,0.11255218615252746,0.842728009400102,6.441054821014404,0.0003,0.843561764806509
46,0.11388117156143703,0.8474667046916582,6.061366081237793,0.0003,0.7945504551753402
47,0.11347645050802302,0.8441024684726856,6.615569114685059,0.0003,0.7777445977553725
48,0.11173302630334626,0.836140887141601,7.033433437347412,0.0003,0.7786243055015802
49,0.10980204774781772,0.8253925316320334,6.696404933929443,0.0003,0.7751129297539592
50,0.10688044117645838,0.8137243358060279,5.216127872467041,0.0003,0.7945454074069858
51,0.10613533587812557,0.8144910173410166,7.488192558288574,0.0003,0.7725233240053058
52,0.10933585456090192,0.8200067643157826,7.479985237121582,0.0003,0.7311481684446335
53,0.10489659868297385,0.8030748944172056,5.87922477722168,0.0003,0.8014991208910942
54,0.10646149559306889,0.8132451682667025,6.019322872161865,0.0003,0.7557701729238033
55,0.10364019933087272,0.7963225964837024,9.566425323486328,0.0003,0.7821487076580524
56,0.1057701651648424,0.8078683665639248,6.28551721572876,0.0003,0.7670245673507452
57,0.10247261475680691,0.7886223527290855,6.4199748039245605,0.0003,0.8718423377722502
58,0.10186566060494093,0.7906792164744626,4.388908863067627,0.0003,0.7337422771379352
59,0.10301871450808023,0.7962665794339118,5.672490119934082,0.0003,0.7238843981176615
60,0.10280783537894245,0.7968326332125727,6.6513824462890625,0.0003,0.7640400193631649
61,0.10625557093487431,0.8154957292971196,8.796647071838379,0.0003,0.7340635182335973
62,0.10104469318332415,0.7850252475153302,10.252031326293945,0.0003,0.7727719154208899
