rank,identifier_type,label,reaction_count
60,SMILES,n1c(c(c(n1c1ccccc1)c1ccccc1)n1nccc1P(C(C)(C)C)(C(C)(C)C)[Pd](Cl)Cl)c1ccccc1,142
61,NAME,SPhos Pd G4,138
62,SMILES,P(C(C)(C)C)(C(C)(C)C)c1ccc(N(C)C)cc1,132
63,SMILES,C(P(C(C)(C)C)C(C)(C)C)(C)(C)C,128
64,SMILES,P(c1c(Oc2c(P(c3ccccc3)c3ccccc3)cccc2)cccc1)(c1ccccc1)c1ccccc1,124
65,SMILES,C1(C)(C)c2c(c(P(c3ccccc3)c3ccccc3)ccc2)Oc2c1cccc2P(c1ccccc1)c1ccccc1.c1ccc(c(c1)[Pd+])c1ccccc1NC.[O-]S(C)(=O)=O,124
66,SMILES,P(c1ccccc1)(c1ccccc1)CCCP(c1ccccc1)c1ccccc1,123
67,SMILES,c12c3c(c(c(cn3)C)C)ccc1c(c(cn2)C)C,121
68,SMILES,P(c1ccccc1)(c1ccccc1)CCCCP(c1ccccc1)c1ccccc1,119
69,NAME,3G OMs RockPhos,119
70,NAME,C1-358,117
71,SMILES,P(c1c(P(c2ccccc2)c2ccccc2)cccc1)(c1ccccc1)c1ccccc1,108
72,SMILES,c12ccc3n2[Mn](n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)Cl,108
73,SMILES,c12ccc3n2[Fe](n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F)Cl,108
74,SMILES,c12ccc3n2[Fe](n2c(c(c4nc(C=C4)c3c3ccccc3[N+]([O-])=O)c3c(cccc3)[N+]([O-])=O)ccc2c(c2C=Cc(n2)c1c1ccccc1[N+]([O-])=O)c1c(cccc1)[N+]([O-])=O)Cl,108
75,SMILES,c1(c2ccccn2)ccccn1,104
76,SMILES,c1(c2cc(ccn2)C(C)(C)C)cc(ccn1)C(C)(C)C,102
77,SMILES,[Cu+].[P-](F)(F)(F)(F)(F)F.C(C)#N.C(C)#N.C(C)#N.C(C)#N,99
78,SMILES,[B-](F)(F)(F)F.[Rh+].C1=CCCC=CCC1.C1=CCCC=CCC1,97
79,SMILES,c1(c2nc(ccc2)C)nc(ccc1)C,96
80,NAME,Rh(COD)2+BF4-,96
81,SMILES,c12c(C(C(CS1(=O)=O)C(Nc1ccc(cc1)CCCCCCCCCC)=O)=O)cccc2,89
82,SMILES,c1(c2c(P(C3CCCCC3)C3CCCCC3)cccc2)c(OC(C)C)cccc1OC(C)C,89
83,SMILES,c12c(nc(cc1C(O)=O)c1ccccn1)cccc2,84
84,SMILES,c1(c2nc3c(cc2)cccc3)nc2c(cc1)cccc2,84
85,NAME,10% Pd/C (wet),84
86,SMILES,C(C(F)(F)F)(O[Pd]OC(C(F)(F)F)=O)=O,84
87,SMILES,c1(c2c(cc(cc2C(C)C)C(C)C)C(C)C)c(c(c(c(c1C)C)C)C)P(C(C)(C)C)C(C)(C)C,83
88,SMILES,c1(c2ccccn2)nc(ccc1)C,82
89,SMILES,C=C.C=C.C=C.C=C.Cl[Rh].Cl[Rh],82
90,SMILES,[P+](CC[P+](C1CCCC1)C1CCCC1)(C1CCCC1)C1CCCC1.F[B-](F)(F)F.F[B-](F)(F)F,81
91,SMILES,c1(c(P(C2CCCCC2)C2CCCCC2)cccc1)c1c(OC)cccc1OC,81
92,SMILES,[P+](CCCC[P+](C(C)(C)C)C(C)(C)C)(C(C)(C)C)C(C)(C)C.F[B-](F)(F)F.F[B-](F)(F)F,78
93,SMILES,c12c3c(c(c4ccccc4)ccn3)ccc1c(c1ccccc1)ccn2,76
94,SMILES,c12c3c(ccc1c(ccn2)Cl)c(ccn3)Cl,75
95,SMILES,C(CN(C)C)(O)=O,75
96,SMILES,c1(cc(nc(n1)N)O)O,75
97,SMILES,c1(cc(cc(c1c1c(ccc(c1P(C1CCCCC1)C1CCCCC1)OC)OC)C(C)C)C(C)C)C(C)C.c1(c(cccc1)[Pd]Cl)CCN,74
98,NAME,Error: 23,74
99,NAME,[Rh(OH)(cod)]2,74
100,NAME,Pd(TFA)2,72
101,SMILES,c12ccc3n2[Cu]n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,72
102,SMILES,N.Cl,70
103,SMILES,c12c3c(ccc1cccn2)cccn3,69
104,SMILES,N([C@H]1[C@H](NC)CCCC1)C,69
105,SMILES,N(C(C(=O)O)=O)c1c(cccc1C)C,68
106,SMILES,N(CCN(C)C)(C)C,68
107,SMILES,c1(ccccn1)C(N)=N.Cl,67
108,NAME,Blank,66
109,SMILES,c12c(cccn2)nnn1O,65
110,SMILES,c1(P(c2ccccc2)c2ccccc2)c2Oc3c(C(C)(C)c2ccc1)cccc3P(c1ccccc1)c1ccccc1.[O-]S(C)(=O)=O.[Pd+]c1c(cccc1)c1ccccc1N.C(Cl)Cl,65
111,SMILES,c12c3c(ccc1cccn2)cccn3.[Cu](Cl)Cl,65
112,SMILES,c1(c2c3c(ccc2O)cccc3)c2c(ccc1O)cccc2,61
113,SMILES,P(C(C)(C)C)(C(C)(C)C)CCCCCP(C(C)(C)C)C(C)(C)C,60
114,SMILES,c12c3c(ccc1ccc(n2)C)ccc(n3)C,60
115,SMILES,C([C@@H]1CCCN1)(O)=O,60
116,SMILES,S(N[C@@H]1[C@@H](N)CCCC1)(c1ccc(cc1)C)(=O)=O,60
117,SMILES,c12c3c(c(cc1cccn2)N)cccn3,60
118,SMILES,c1(C(O)=O)ccc[nH]1,60
119,SMILES,c1(c2c3c(ccc2)cccc3)c(P(C(C)(C)C)C(C)(C)C)ccc2c1cccc2,59
120,SMILES,C(C(CC(C(C)(C)C)=O)=O)(C)(C)C,59
121,SMILES,c1(c(cccc1)O)C=NO,59
122,NAME,Xanthphos Pd G2,59
123,SMILES,c1ccc(c(c1C(C)C)NC(C(=O)O)=O)C(C)C,56
124,SMILES,P(C1CCCC1)(C1CCCCC1)C1CCCCC1.P(C1CCCC1)(C1CCCCC1)C1CCCCC1.[Fe],54
125,SMILES,c1cnc(cc1)c1c(cccc1)[Ir](c1c(cccc1)c1ccccn1)c1ccccc1c1ccccn1,54
126,SMILES,[Ir](c1c(c(cc(c1)F)F)c1ncccc1)(c1c(c(cc(c1)F)F)c1ncccc1)c1c(c(cc(c1)F)F)c1ncccc1,54
127,SMILES,P(c1ccccc1)(c1ccccc1)CCP(c1ccccc1)c1ccccc1,51
128,SMILES,P(c1ccccc1)(c1ccccc1)CCCCCP(c1ccccc1)c1ccccc1,50
129,SMILES,[P+](CCCC[P+](C1CCCC1)C1CCCC1)(C1CCCC1)C1CCCC1.F[B-](F)(F)F.F[B-](F)(F)F,50
130,SMILES,C(CNC)NC,50
131,SMILES,C(CNC)CNC,49
132,SMILES,c1(C(N(CC)CC)=O)c(cccc1)O,49
133,SMILES,P(c1ccccc1)(c1ccccc1)CP(c1ccccc1)c1ccccc1,48
134,SMILES,c1(c(c(c(c(c1C)C)NC(C(O)=O)=O)C)C)NC(C(O)=O)=O,48
135,SMILES,c1(c(cccc1C)CC)NC(C(O)=O)=O,48
136,SMILES,c1(c(cccc1C)C(C)(C)C)NC(C(O)=O)=O,48
137,SMILES,C(N(C)C)CO,48
138,SMILES,N(CCN(C)C)(CCN(C)C)C,48
139,SMILES,C(C(CN)(C)C)N(C)C,48
140,SMILES,c12c3c(ccc1ccc(n2)C(O)=O)ccc(n3)C(O)=O,48
141,SMILES,c1(/C=C/C(/C=C/c2ccccc2)=O)ccccc1,48
142,SMILES,c1(ccccn1)N,48
143,SMILES,N1([C@H](C(O)=O)CCC1)C,48
144,SMILES,c12c3c(ccc1cccn2)cccn3.[Pd](Cl)Cl,48
145,NAME,Neocuproine.0.5H2O,48
146,NAME,[Rh(cod)2]BF4 /(S)-Phanephos,48
147,NAME,"Ir[COD(Cl)]2/(R,R)-DIPAMP",48
148,NAME,Ir[COD(Cl)]2,48
149,SMILES,c12ccc3n1[Cu]n1c(c(c4nc(C=C4)c3c3c(cccc3Cl)Cl)c3c(cccc3Cl)Cl)ccc1c(c1C=Cc(n1)c2c1c(cccc1Cl)Cl)c1c(cccc1Cl)Cl,48
150,SMILES,c12ccc3n1[Pd]n1c(c(c4nc(C=C4)c3c3c(cccc3Cl)Cl)c3c(cccc3Cl)Cl)ccc1c(c1C=Cc(n1)c2c1c(cccc1Cl)Cl)c1c(cccc1Cl)Cl,48
151,SMILES,c12ccc3n1[Co]n1c(c(c4nc(C=C4)c3c3c(cccc3Cl)Cl)c3c(cccc3Cl)Cl)ccc1c(c1C=Cc(n1)c2c1c(cccc1Cl)Cl)c1c(cccc1Cl)Cl,48
152,SMILES,c12ccc3n1[Mn](n1c(c(c4nc(C=C4)c3c3c(cccc3Cl)Cl)c3c(cccc3Cl)Cl)ccc1c(c1C=Cc(n1)c2c1c(cccc1Cl)Cl)c1c(cccc1Cl)Cl)Cl,48
153,SMILES,c12ccc3n2[Co]n2c(c(c4nc(C=C4)c3c3c(c(c(c(c3F)F)F)F)F)c3c(c(c(c(c3F)F)F)F)F)ccc2c(c2C=Cc(n2)c1c1c(c(c(c(c1F)F)F)F)F)c1c(c(c(c(c1F)F)F)F)F,48
154,SMILES,N(C(C(NNC(C)C)=O)=O)NC(C)C,47
155,SMILES,[Pd](Cl)Cl.P(c1ccccc1)(c1ccccc1)c1ccccc1.P(c1ccccc1)(c1ccccc1)c1ccccc1,47
156,SMILES,P(c1ccco1)(c1ccco1)c1ccco1,45
157,SMILES,c1cnc(cc1)C(N)=NC#N,44
158,SMILES,c12c([nH]c([nH]1)=O)cc(cc2)C,44
159,SMILES,[N+]1(=CN(c2c(C(C)C)cccc2C(C)C)CC1)c1c(C(C)C)cccc1C(C)C.[Cl-],44
160,SMILES,[P+](CC[P+](C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1.F[B-](F)(F)F.F[B-](F)(F)F,43
161,SMILES,[Ni],42
162,SMILES,c1(cc(cc(c1c1c(c(ccc1OC)OC)P(C(C)(C)C)C(C)(C)C)C(C)C)C(C)C)C(C)C,41
163,SMILES,[P+](CCCC[P+](C1CCCCC1)C1CCCCC1)(C1CCCCC1)C1CCCCC1.F[B-](F)(F)F.F[B-](F)(F)F,40
164,NAME,MnBr(CO)5,40
165,SMILES,C(/C1=N[C@H](CO1)c1ccccc1)(=C\1N[C@H](CO1)c1ccccc1)C#N,39
166,SMILES,CC(P(C(C)(C)C)C)(C)C,39
167,SMILES,P(C1CCCCC1)(C1CCCCC1)CCCP(C1CCCCC1)C1CCCCC1,38
168,SMILES,c1(C(=NC#N)N)ccccn1,38
169,SMILES,c1(cc(ccn1)OC)C(N)=N,38
170,NAME,Naud SL-N011-2,38
171,SMILES,c12c([Pd-](N(CC1)C)[P+](c1c(c3c(cc(cc3C(C)C)C(C)C)C(C)C)cccc1)(C1CCCCC1)C1CCCCC1)cccc2,37
172,SMILES,c1(c2c(P(C3CCCCC3)C3CCCCC3)c(ccc2OC)OC)c(cc(cc1C(C)C)C(C)C)C(C)C,37
173,SMILES,c12c(CCCC1=NO)cccn2,36
174,SMILES,c12c(ccc(n2)O)cccc1O,36
175,SMILES,c12c3c(ccc1c(ccn2)O)c(ccn3)O,36
176,SMILES,I1(c2c(C(O1)=O)cccc2)(OC(C)=O)(OC(C)=O)OC(C)=O,35
177,NAME,(S)-Phanephos,35
178,SMILES,c1c(nc(cc1OC)C(=N)N)C(=N)N,34
179,SMILES,C1(C(CCCC1)=O)C(C)=O,33
180,NAME,(crotyl)chloro(PtBu3)palladium(II),33
181,SMILES,C(N(Cc1nnn(c1)CCCO)Cc1nnn(c1)CCCO)c1nnn(c1)CCCO,32
182,SMILES,c1(c(cc(c(c1)Cl)OC)OC)NC(Nc1c(cc(c(c1)Cl)OC)OC)=O,32
183,NAME,Pd(OAc)2/Only,32
184,SMILES,C/1(=C(/C2=N[C@@H](c3ccc(C(C)(C)C)cc3)CO2)C#N)N[C@H](CO1)c1ccc(C(C)(C)C)cc1,31
185,SMILES,c1(c(ccc(c1)OC)OC)NC(Nc1c(cc(cc1)[N+](=O)[O-])OC)=O,30
186,SMILES,c1(CNCCNCc2ccccc2)ccccc1,30
187,SMILES,c1(C(CC(c2ccccn2)=O)=O)ccccn1,29
188,NAME,"(R,R)-DIPAMP",29
189,SMILES,c1c(c(ccc1)[Pd]Cl)c1ccccc1N.P(C(C)(C)C)(C(C)(C)C)c1ccc(cc1)N(C)C,29
190,SMILES,c1cccc(n1)C1=NCCN1,28
191,NAME,(R)-(+)-XylBINAP,28
192,NAME,Taniaphos SL-T002-1,28
193,SMILES,c1(ccc(cc1)C)C(C)C.c1(ccc(cc1)C)C(C)C.[Ru](Cl)Cl.[Ru](Cl)Cl,28
194,NAME,RuPhos Pd G4,28
195,NAME,[Ir(dtbbpy)(ppy)2]PF6,28
196,SMILES,c12ccccc1C1(OC2=O)c2c(Oc3c1ccc(c3)O)cc(cc2)O,28
197,NAME,Ru(BPY)3,28
198,SMILES,[Ru+2].[P-](F)(F)(F)(F)(F)F.[P-](F)(F)(F)(F)(F)F.c1cccc(n1)c1ncccc1.c1cccc(n1)c1ncccc1.c1cccc(n1)c1ncccc1,28
