protocol,seed,selected_epochs,train_samples,test_samples,parameter_count,training_seconds,peak_gpu_memory_mb,test_n_samples,test_mae,test_rmse,test_r2,test_spearman,checkpoint,history_file,prediction_file
random,1,159,7985,1997,305541,118.64748449251056,73.69677734375,1997.0,0.8162795348094313,1.5337563467900543,0.5755054698160094,0.8797957438341656,artifacts/models/day3/random_final_seed_1.pt,reports/day3/history/random_gine_final_seed_1.csv,reports/day3/predictions/random_gine_final_seed_1_test.csv
random,2,159,7985,1997,305541,119.32034602854401,73.71142578125,1997.0,0.8456805463995491,1.4034025673626933,0.6445947113116142,0.8661398842409113,artifacts/models/day3/random_final_seed_2.pt,reports/day3/history/random_gine_final_seed_2.csv,reports/day3/predictions/random_gine_final_seed_2_test.csv
random,3,159,7985,1997,305541,118.09708383772522,73.68505859375,1997.0,0.8076577258508971,1.3768267530892218,0.6579276705661508,0.8814140471667716,artifacts/models/day3/random_final_seed_3.pt,reports/day3/history/random_gine_final_seed_3.csv,reports/day3/predictions/random_gine_final_seed_3_test.csv
