protocol,model,seeds,test_mae,test_rmse,test_r2,test_spearman,test_mae_ci95,test_rmse_ci95,test_r2_ci95,test_spearman_ci95
random,GINE,3,0.8232059356866258,1.4379952224139896,0.6260092838979248,0.8757832250806161,0.049521956157276004,0.20864114528281733,0.1099050121809893,0.020843120919258367
random,XGBoost,1,0.6741843178570289,1.0256955864555195,0.8101562402362972,0.903195892530372,,,,
scaffold,GINE,3,0.9263847260195922,1.4379061130296709,0.6072484335751609,0.8497755183933161,0.10397976492286977,0.06233765675522844,0.03398732440433316,0.012478005363754721
scaffold,XGBoost,1,0.7943780689054781,1.1066483244009264,0.7674116520748357,0.8559340603703033,,,,
