protocol,target,pooling,regularization_c,classes,train_samples,valid_samples,training_seconds,maximum_iterations,maximum_iterations_used,converged,micro_average_precision,macro_average_precision_observed,mean_reciprocal_rank,hit_rate_at_1,hit_rate_at_3,hit_rate_at_5,recall_at_5,frequency_hit_rate_at_5,selected
transformation,solvent,cls,0.01,20,229,43,1.0300219170749187,1000,6,True,0.429489780661952,0.5093955435396966,0.629559716769019,0.46511627906976744,0.7441860465116279,0.8604651162790697,0.6829457364341085,0.7441860465116279,False
transformation,solvent,cls,0.1,20,229,43,0.03298196475952864,1000,7,True,0.42963999590997526,0.5537017178008167,0.7075304540420819,0.5813953488372093,0.813953488372093,0.8837209302325582,0.7042635658914729,0.7441860465116279,False
transformation,solvent,cls,1.0,20,229,43,0.03440566919744015,1000,9,True,0.41807497598649274,0.5397623049319689,0.7236018826135104,0.6046511627906976,0.813953488372093,0.9302325581395349,0.7507751937984496,0.7441860465116279,False
transformation,solvent,cls,10.0,20,229,43,0.05255001410841942,1000,11,True,0.41019805266446424,0.518310857606818,0.7159305582698196,0.5581395348837209,0.813953488372093,0.9302325581395349,0.7534883720930232,0.7441860465116279,False
transformation,solvent,masked_mean,0.01,20,229,43,0.022610568441450596,1000,6,True,0.4021698720187264,0.49704333298282133,0.6362094827517104,0.4883720930232558,0.7441860465116279,0.813953488372093,0.5996124031007751,0.7441860465116279,False
transformation,solvent,masked_mean,0.1,20,229,43,0.03248251974582672,1000,7,True,0.450128537616928,0.5030520180570682,0.6475538673213092,0.4883720930232558,0.7906976744186046,0.8372093023255814,0.612984496124031,0.7441860465116279,False
transformation,solvent,masked_mean,1.0,20,229,43,0.03353472240269184,1000,8,True,0.4563821651615476,0.5174270278109149,0.6665446956144631,0.5116279069767442,0.7674418604651163,0.8372093023255814,0.6624031007751938,0.7441860465116279,True
transformation,solvent,masked_mean,10.0,20,229,43,0.05281618982553482,1000,10,True,0.4441557212058727,0.5158987415277725,0.7011074197120708,0.5813953488372093,0.7674418604651163,0.8837209302325582,0.7437984496124032,0.7441860465116279,False
transformation,catalyst,cls,0.01,248,185,35,0.15332854632288218,1000,6,True,0.1748623897885802,0.3835364524797027,0.5360094441259551,0.42857142857142855,0.5428571428571428,0.6857142857142857,0.31133652062223494,0.5714285714285714,False
transformation,catalyst,cls,0.1,248,185,35,0.20642790012061596,1000,8,True,0.19473992046677444,0.4303838662108074,0.5812278019886715,0.4857142857142857,0.6285714285714286,0.7142857142857143,0.31937479187479184,0.5714285714285714,False
transformation,catalyst,cls,1.0,248,185,35,0.2324462253600359,1000,9,True,0.20656241409071788,0.3643312329897355,0.5928028882659481,0.4857142857142857,0.6,0.7428571428571429,0.33022671772671774,0.5714285714285714,False
transformation,catalyst,cls,10.0,248,185,35,0.23794461321085691,1000,11,True,0.20698451670106302,0.334048185002592,0.6106412053128643,0.5142857142857142,0.6285714285714286,0.7714285714285715,0.3569897562754706,0.5714285714285714,False
transformation,catalyst,masked_mean,0.01,248,185,35,0.19342694990336895,1000,6,True,0.20270556813727786,0.4752654416164561,0.527595822914146,0.37142857142857144,0.6571428571428571,0.7142857142857143,0.29799058084772373,0.5714285714285714,False
transformation,catalyst,masked_mean,0.1,248,185,35,0.1705705188214779,1000,7,True,0.24326296064658154,0.48946034751797945,0.5973080343248409,0.5142857142857142,0.6571428571428571,0.6857142857142857,0.3186270871985158,0.5714285714285714,False
transformation,catalyst,masked_mean,1.0,248,185,35,0.18643237464129925,1000,9,True,0.24564682662767265,0.4680552438507918,0.6406347007030238,0.5428571428571428,0.7428571428571429,0.7714285714285715,0.3568928690357262,0.5714285714285714,True
transformation,catalyst,masked_mean,10.0,248,185,35,0.2777040284126997,1000,10,True,0.23816184936203608,0.4454804166885552,0.6625835710597032,0.5428571428571428,0.7428571428571429,0.7714285714285715,0.378630179344465,0.5714285714285714,False
reaction_center,solvent,cls,0.01,20,219,48,0.022663597017526627,1000,6,True,0.40124813061674014,0.460155315894282,0.6970734126984127,0.5416666666666666,0.7916666666666666,0.8333333333333334,0.6777199074074075,0.75,False
reaction_center,solvent,cls,0.1,20,219,48,0.032171858474612236,1000,7,True,0.45118743451459054,0.45485233363225186,0.7590525793650794,0.6458333333333334,0.8333333333333334,0.875,0.7324074074074075,0.75,False
reaction_center,solvent,cls,1.0,20,219,48,0.032375337556004524,1000,9,True,0.45656144416963096,0.45613049848800213,0.7842261904761904,0.6875,0.8333333333333334,0.8958333333333334,0.7490740740740741,0.75,False
reaction_center,solvent,cls,10.0,20,219,48,0.04220292065292597,1000,11,True,0.4388848953602877,0.4797679548926856,0.7914772727272728,0.6875,0.8541666666666666,0.9166666666666666,0.7512152777777779,0.75,False
reaction_center,solvent,masked_mean,0.01,20,219,48,0.022088834084570408,1000,5,True,0.35349173033587733,0.36515905475476995,0.6369881854256855,0.4583333333333333,0.7708333333333334,0.8333333333333334,0.6353587962962962,0.75,False
reaction_center,solvent,masked_mean,0.1,20,219,48,0.022557777352631092,1000,6,True,0.408291179008726,0.4146548750952222,0.7608713624338623,0.6666666666666666,0.8333333333333334,0.875,0.7373263888888889,0.75,False
