protocol,seed,selected_epochs,train_samples,test_samples,parameter_count,training_seconds,peak_gpu_memory_mb,test_n_samples,test_mae,test_rmse,test_r2,test_spearman,checkpoint,history_file,prediction_file
random,1,156,7985,1997,305541,115.84940907265991,73.69677734375,1997.0,0.8209894546391568,1.5919347394656442,0.5426908689923441,0.8772995989825917,artifacts/models/day3/random_final_seed_1.pt,reports/day3/history/random_gine_final_seed_1.csv,reports/day3/predictions/random_gine_final_seed_1_test.csv
random,2,156,7985,1997,305541,117.27195372618735,73.71142578125,1997.0,0.8321735101493619,1.4484560376139186,0.6214092580565851,0.8774950162810944,artifacts/models/day3/random_final_seed_2.pt,reports/day3/history/random_gine_final_seed_2.csv,reports/day3/predictions/random_gine_final_seed_2_test.csv
random,3,156,7985,1997,305541,116.63345556892455,73.68505859375,1997.0,0.8157409890983898,1.3744545237702996,0.6591054148758406,0.8753791110742859,artifacts/models/day3/random_final_seed_3.pt,reports/day3/history/random_gine_final_seed_3.csv,reports/day3/predictions/random_gine_final_seed_3_test.csv
