protocol,dimension,subgroup,n_samples,proportion,mean_nearest_similarity,gine_mae,xgboost_mae,gine_minus_xgboost_mae,gine_win_rate,mean_gine_seed_std
random,similarity_bin,<0.30,67,0.03355032548823235,0.23226601420286316,1.8927820735143044,1.3410422990796562,0.5517397744346482,0.4626865671641791,0.7970220611281765
random,similarity_bin,0.30-0.50,425,0.2128192288432649,0.41290529742429183,0.8605370682503517,0.7785569911908732,0.08198007705947852,0.47294117647058825,0.34853952021585616
random,similarity_bin,0.50-0.70,913,0.45718577866800203,0.5948261343209734,0.7014399363610699,0.6200549500682538,0.0813849862928161,0.4764512595837897,0.29064064794041927
random,similarity_bin,0.70-0.85,399,0.19979969954932397,0.76158595397368,0.6750421854414501,0.5742584035762472,0.10078378186520287,0.44862155388471175,0.3082667594338983
random,similarity_bin,>=0.85,193,0.09664496745117676,0.9445120137749909,0.8531337969796491,0.675493574565319,0.17764022241433008,0.3626943005181347,0.28167094078896365
random,scaffold_status,acyclic,609,0.3049574361542313,0.6213124394648626,0.8617507908666596,0.7226495522414698,0.13910123862518986,0.4614121510673235,0.37752174930494853
random,scaffold_status,seen_cyclic_scaffold,1101,0.5513269904857286,0.6298129354786431,0.6475600525666318,0.5901684740183811,0.05739157854825072,0.4732061762034514,0.2714899626579157
random,scaffold_status,unseen_cyclic_scaffold,287,0.14371557336004007,0.5173628281879746,1.1469899655890874,0.8936481547578756,0.25334181083121177,0.397212543554007,0.40217567989632763
random,molecular_weight_bin,<200,783,0.39208813219829747,0.5733379063430747,0.6423385909204631,0.5565850131989261,0.08575357772153702,0.4763729246487867,0.2960285181309531
random,molecular_weight_bin,200-400,969,0.48522784176264394,0.6362547718312741,0.752471637894314,0.693691053894013,0.05878058400030106,0.45717234262125905,0.28666248499133595
random,molecular_weight_bin,400-600,154,0.0771156735102654,0.6284032806894343,1.048784786966343,0.9982223303857305,0.050562456580612425,0.5,0.4334449771109264
random,molecular_weight_bin,>=600,91,0.04556835252879319,0.6379987855904534,1.9049118531274272,0.929968705355415,0.9749431477720122,0.25274725274725274,0.7464704419241921
random,druglike_status,drug_like,1738,0.8703054581872809,0.6137753124301994,0.645909515724903,0.592016135634156,0.053893380090746956,0.4660529344073648,0.2874745669299681
random,druglike_status,outside_drug_like_scope,259,0.12969454181271908,0.5928376690438203,1.7156958737754608,1.225567737037219,0.49012813673824174,0.4092664092664093,0.5583583668688814
scaffold,similarity_bin,<0.30,213,0.10665998998497747,0.25532060567840204,1.1673117241879025,0.963935562446465,0.20337616174143747,0.5117370892018779,0.39624965062664536
scaffold,similarity_bin,0.30-0.50,959,0.48022033049574364,0.40331511452550894,0.8320134534486944,0.8116626944775405,0.020350758971153904,0.4932221063607925,0.3167988585601374
scaffold,similarity_bin,0.50-0.70,706,0.3535302954431647,0.5688824228463157,0.852790710399584,0.7480715776215326,0.10471913277805134,0.4603399433427762,0.30590482245200973
scaffold,similarity_bin,0.70-0.85,84,0.04206309464196294,0.752148973132734,1.0688148338406807,0.6326481016374489,0.43616673220323177,0.30952380952380953,0.2904800749329018
scaffold,similarity_bin,>=0.85,35,0.017526289434151226,0.950432513778967,0.9934447654656001,0.6111207152805415,0.38232405018505866,0.34285714285714286,0.3104350409767535
scaffold,scaffold_status,unseen_cyclic_scaffold,1997,1.0,0.4703250506231223,0.8879116442089837,0.794378066188395,0.0935335780205887,0.4732098147220831,0.3202031238469285
scaffold,molecular_weight_bin,<200,478,0.23935903855783675,0.4516130824775287,0.6909993768191827,0.6036456115006001,0.08735376531858252,0.4560669456066946,0.28540998492820446
scaffold,molecular_weight_bin,200-400,1214,0.6079118678017026,0.47472554728897415,0.7758798281040006,0.7593805859576594,0.01649924214634113,0.48105436573311366,0.2994105219491668
scaffold,molecular_weight_bin,400-600,199,0.09964947421131698,0.4564091243573823,1.3328646407330058,1.327228476844601,0.0056361638884048215,0.5125628140703518,0.36687353645586346
scaffold,molecular_weight_bin,>=600,106,0.053079619429143715,0.5304324765488939,2.2236195900155313,1.0549424305307942,1.1686771594847372,0.3867924528301887,0.6276175294870678
scaffold,druglike_status,drug_like,1815,0.9088632949424136,0.47104366635093503,0.8015628239701146,0.7372739307237761,0.06428889324633846,0.46831955922865015,0.3003934142811284
scaffold,druglike_status,outside_drug_like_scope,182,0.09113670505758638,0.46315863553531994,1.7490276262614426,1.3638506259042384,0.38517700035720415,0.521978021978022,0.5177559967146601
