uncertainty_quartile,n_samples,mean_seed_std,gine_mae,xgboost_mae,mean_similarity,gine_minus_xgboost_mae
Q1_low,500,0.1122009854888595,0.850710377975755,0.8144986032446078,0.46002444092317624,0.03621177473114723
Q2,499,0.22850935288457738,0.8160946865727206,0.7546559105782092,0.48686413396160927,0.06143877599451131
Q3,499,0.34473983424357396,0.7855952582885085,0.7837462761583147,0.4732778093518539,0.0018489821301937992
Q4_high,499,0.5957791607233245,1.0993208056346886,0.8245711530549013,0.46115446076025846,0.27474965257978734
