transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:CC(C)(C)OC(=O)NCC[B-](F)(F)F.[K+].SMILES:COc1ccc(Br)nc1>>SMILES:COc1ccc(CCNC(=O)OC(C)(C)C)nc1,b0113d9a0a40a10d,SUZUKI,CC(C)(C)OC(=O)NCC[B-](F)(F)F.[K+].COc1ccc(Br)nc1>>COc1ccc(CCNC(=O)OC(C)(C)C)nc1,71,73,0,[],train,test
SMILES:CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C.SMILES:Cc1ccnc(Br)c1>>SMILES:Cc1ccnc(N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1,af3b1f5de74aea7e,BUCHWALD,CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C.Cc1ccnc(Br)c1>>Cc1ccnc(N(NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)c1,87,89,0,[],valid,train
SMILES:CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C.SMILES:Fc1cccnc1I>>SMILES:CC(C)(C)OC(=O)NN(C(=O)OC(C)(C)C)c1ncccc1F,a3e39c0ccb3a46cd,BUCHWALD,CC(C)(C)OC(=O)NNC(=O)OC(C)(C)C.Fc1cccnc1I>>CC(C)(C)OC(=O)NN(C(=O)OC(C)(C)C)c1ncccc1F,83,85,0,[],train,test
SMILES:CC(C)(C)OC(=O)n1cc(B2OC(C)(C)C(C)(C)O2)c2ccc(F)cc21.SMILES:COC(=O)[C@@H]1NS(=O)(=O)c2ccc(Br)cc21>>SMILES:COC(=O)C1NS(=O)(=O)c2ccc(-c3cn(C(=O)OC(C)(C)C)c4cc(F)ccc34)cc21,96667ab2ce5bf88b,SUZUKI,CC(C)(C)OC(=O)n1cc(B2OC(C)(C)C(C)(C)O2)c2ccc(F)cc21.COC(=O)[C@@H]1NS(=O)(=O)c2ccc(Br)cc21>>COC(=O)C1NS(=O)(=O)c2ccc(-c3cn(C(=O)OC(C)(C)C)c4cc(F)ccc34)cc21,147,149,0,[],test,valid
SMILES:CC(C)(C)OC(=O)n1ccc2c(F)ccc(OCc3ccccc3)c2c1=O>>SMILES:CC(C)(C)OC(=O)N1CCc2c(F)ccc(O)c2C1,62a270f896e5c44b,HYDROGENATION,CC(C)(C)OC(=O)n1ccc2c(F)ccc(OCc3ccccc3)c2c1=O>>CC(C)(C)OC(=O)N1CCc2c(F)ccc(O)c2C1,80,82,0,[],train,test
SMILES:CC(C)(C)OCCBr.SMILES:Cc1n[nH]cc1[N+](=O)[O-]>>SMILES:Cc1nn(CCOC(C)(C)C)cc1[N+](=O)[O-],8e8eec33d82fd1b7,ALKYLATION,CC(C)(C)OCCBr.Cc1n[nH]cc1[N+](=O)[O-]>>Cc1nn(CCOC(C)(C)C)cc1[N+](=O)[O-],55,57,0,[],train,train
SMILES:CC(C)(C)OCCO.SMILES:Cc1n[nH]cc1[N+](=O)[O-]>>SMILES:Cc1nn(CCOC(C)(C)C)cc1[N+](=O)[O-],2cb4c9860540f47f,ALKYLATION,CC(C)(C)OCCO.Cc1n[nH]cc1[N+](=O)[O-]>>Cc1nn(CCOC(C)(C)C)cc1[N+](=O)[O-],55,57,0,[],train,valid
SMILES:CC(C)(C)[O][Al-]([O]C(C)(C)C)[O]C(C)(C)C.[Li+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,f2f2017a1d9091cb,AMINATION,CC(C)(C)[O][Al-]([O]C(C)(C)C)[O]C(C)(C)C.[Li+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,85,87,0,[],train,train
SMILES:CC(C)(C)[O][Al-]([O]C(C)(C)C)[O]C(C)(C)C.[Li+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,43906f1b0989451a,AMINATION,CC(C)(C)[O][Al-]([O]C(C)(C)C)[O]C(C)(C)C.[Li+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,94,96,0,[],train,train
SMILES:CC(C)(C)c1ccc(Br)cc1.SMILES:[Br][Zn][CH2]Cc1ccccc1.SMILES:[C-]#[N+]C(C)(C)C>>SMILES:CC(C)(C)c1ccc(C(=O)C(=O)CCc2ccccc2)cc1,380c052c301236a6,CARBONYLATION,CC(C)(C)c1ccc(Br)cc1.[Br][Zn][CH2]Cc1ccccc1.[C-]#[N+]C(C)(C)C>>CC(C)(C)c1ccc(C(=O)C(=O)CCc2ccccc2)cc1,83,85,0,[],train,train
SMILES:CC(C)(C)c1ccc(Br)cn1.SMILES:[Br][Zn][CH2]Cc1ccccc1.SMILES:[C-]#[N+]C(C)(C)C>>SMILES:CC(C)(C)c1ccc(C(=O)C(=O)CCc2ccccc2)cn1,3548e62918e60f28,CARBONYLATION,CC(C)(C)c1ccc(Br)cn1.[Br][Zn][CH2]Cc1ccccc1.[C-]#[N+]C(C)(C)C>>CC(C)(C)c1ccc(C(=O)C(=O)CCc2ccccc2)cn1,83,85,0,[],valid,train
SMILES:CC(C)(C)c1ccc(Br)cn1.SMILES:[Br][Zn][CH2]Cc1ccccc1.SMILES:[C-]#[N+]C(C)(C)C>>SMILES:CC(C)(C)c1ccc(C(=O)CCc2ccccc2)cn1,30d62804704349e8,CARBONYLATION,CC(C)(C)c1ccc(Br)cn1.[Br][Zn][CH2]Cc1ccccc1.[C-]#[N+]C(C)(C)C>>CC(C)(C)c1ccc(C(=O)CCc2ccccc2)cn1,78,80,0,[],valid,valid
SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.SMILES:CS(=O)(=O)O>>SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,e64f1df97f387282,CHIRAL SALT RESOLUTION,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.CS(=O)(=O)O>>CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,137,139,0,[],train,train
SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.SMILES:Cl>>SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,4f53cda18c2baa0c,CHIRAL SALT RESOLUTION,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.Cl>>CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,127,129,0,[],train,train
SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.SMILES:O=P(O)(O)O>>SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,3fa932bf8271ab77,CHIRAL SALT RESOLUTION,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.O=P(O)(O)O>>CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,136,138,0,[],train,train
SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.SMILES:O=S(=O)(O)O>>SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,2ae640b844aa19ab,CHIRAL SALT RESOLUTION,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.O=S(=O)(O)O>>CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,137,139,0,[],test,test
SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.SMILES:O=S(=O)(O)c1ccccc1>>SMILES:CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,84efaac7c823d524,CHIRAL SALT RESOLUTION,CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1.O=S(=O)(O)c1ccccc1>>CC(C)(N)C(=O)N1CC[C@](C)(N2CCc3c(-c4cnc(N)nc4)nc(N4CCOCC4)nc32)C1,144,146,0,[],test,train
SMILES:CC(C)(OO)c1ccccc1.SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12>>SMILES:CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,d3bee725a430efff,BIOMIMETIC OXIDATION,CC(C)(OO)c1ccccc1.CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1ccnc2ccc(OC)cc12>>CC[C@H]1CN2CC[C@H]1C[C@H]2[C@H](O)c1cc(O)nc2ccc(OC)cc12,94,96,0,[],train,train
SMILES:CC(C)(OO)c1ccccc1.SMILES:O=C([C@@H]1CCCN(c2ccc3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1>>SMILES:O=C([C@@H]1CCCN(c2cc(O)c3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1,5c9ccd95bb821c7d,BIOMIMETIC OXIDATION,CC(C)(OO)c1ccccc1.O=C([C@@H]1CCCN(c2ccc3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1>>O=C([C@@H]1CCCN(c2cc(O)c3nc(C4(n5cc(Cl)cn5)CC4)[nH]c3n2)C1)N1CCCC1,130,132,0,[],train,train
SMILES:CC(C)C(C)[B-](C(C)C(C)C)C(C)C(C)C.[K+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,f3ec35ba78d75d2d,AMINATION,CC(C)C(C)[B-](C(C)C(C)C)C(C)C(C)C.[K+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,85,87,0,[],train,train
SMILES:CC(C)C(C)[B-](C(C)C(C)C)C(C)C(C)C.[K+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,ec459ef1874fe133,AMINATION,CC(C)C(C)[B-](C(C)C(C)C)C(C)C(C)C.[K+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,94,96,0,[],train,train
SMILES:CC(C)[CH2][Al][CH2]C(C)C.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,1c55a04f4052a4b9,AMINATION,CC(C)[CH2][Al][CH2]C(C)C.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,66,68,0,[],train,train
