transformation_signature,reaction_center_signature,reaction_type,canonical_reaction,raw_token_count,encoded_token_count,unknown_token_count,unknown_tokens,transformation_split,reaction_center_split
SMILES:CC(O)c1cccnc1.SMILES:O=[N+]([O-])c1ccccc1F.SMILES:c1ccc([Si]c2ccccc2)cc1>>SMILES:CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,67a765265e3c4995,ALKYLATION,CC(O)c1cccnc1.O=[N+]([O-])c1ccccc1F.c1ccc([Si]c2ccccc2)cc1>>CC(Oc1ccccc1[N+](=O)[O-])c1cccnc1,77,79,0,[],train,valid
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:CC1(C)OBOC1(C)C.SMILES:COC(=O)c1cc(Cl)ccc1Cl>>SMILES:COC(=O)c1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1Cl,4cbe67c00fde7e73,PD BORYLATION,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CC1(C)OBOC1(C)C.COC(=O)c1cc(Cl)ccc1Cl>>COC(=O)c1cc(Cl)cc(B2OC(C)(C)C(C)(C)O2)c1Cl,113,115,0,[],train,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:CN(Cc1ccc(S(C)(=O)=O)cc1Br)C(=O)OC(C)(C)C.SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N>>SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)OC(C)(C)C)cnc1N,bef570f36aee0fa3,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.CN(Cc1ccc(S(C)(=O)=O)cc1Br)C(=O)OC(C)(C)C.COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N>>COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(-c2cc(S(C)(=O)=O)ccc2CN(C)C(=O)OC(C)(C)C)cnc1N,188,190,0,[],train,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N.SMILES:Cc1nn(C)c(CN(C)C(=O)OC(C)(C)C)c1Br>>SMILES:COC(=O)c1ccc(F)cc1C(C)Oc1cc(-c2c(C)nn(C)c2CN(C)C(=O)OC(C)(C)C)cnc1N,5f4f844edf6c518e,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COC(=O)c1ccc(F)cc1[C@@H](C)Oc1cc(Br)cnc1N.Cc1nn(C)c(CN(C)C(=O)OC(C)(C)C)c1Br>>COC(=O)c1ccc(F)cc1C(C)Oc1cc(-c2c(C)nn(C)c2CN(C)C(=O)OC(C)(C)C)cnc1N,174,176,0,[],train,test
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:COC(=O)c1ccnc(Cl)c1>>SMILES:COC(=O)c1cc(Cl)nc(B2OC(C)(C)C(C)(C)O2)c1,e825564a4d92e26a,PD BORYLATION,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.COC(=O)c1ccnc(Cl)c1>>COC(=O)c1cc(Cl)nc(B2OC(C)(C)C(C)(C)O2)c1,95,97,0,[],train,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:C[C@@H](Oc1cc(I)cnc1N)c1cccnc1C(=O)N(C)Cc1c(Br)c(C(C)(C)C)nn1C>>SMILES:CC1Oc2cc(cnc2N)-c2c(C(C)(C)C)nn(C)c2CN(C)C(=O)c2ncccc21,519c75df9e7aedb6,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.C[C@@H](Oc1cc(I)cnc1N)c1cccnc1C(=O)N(C)Cc1c(Br)c(C(C)(C)C)nn1C>>CC1Oc2cc(cnc2N)-c2c(C(C)(C)C)nn(C)c2CN(C)C(=O)c2ncccc21,149,151,0,[],train,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nc2ccccc2o1>>SMILES:Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,c14917a1062b1b08,PD BORYLATION,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nc2ccccc2o1>>Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,87,89,0,[],train,test
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nn(-c2c(C#N)ncn2C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>SMILES:Cc1c2c(nn1-c1c(C#N)ncn1C)CN(C)C(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc-2cnc1N,3daee3b89d1dfdcb,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nn(-c2c(C#N)ncn2C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>Cc1c2c(nn1-c1c(C#N)ncn1C)CN(C)C(=O)c1ccc(F)c(Cl)c1[C@@H](C)Oc1nc-2cnc1N,171,173,0,[],valid,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nn(C)c(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)c1Br>>SMILES:Cc1nn(C)c2c1-c1cnc(N)c(c1)OC(C)c1cc(F)ccc1C(=O)N(C)C2,e934842d10849928,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nn(C)c(CN(C)C(=O)c2ccc(F)cc2[C@@H](C)Oc2cc(Br)cnc2N)c1Br>>Cc1nn(C)c2c1-c1cnc(N)c(c1)OC(C)c1cc(F)ccc1C(=O)N(C)C2,143,145,0,[],train,test
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cc1nn(CCO[Si](C)(C)C(C)(C)C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>SMILES:Cc1nn(CCO[Si](C)(C)C(C)(C)C)c2c1-c1cnc(N)c(n1)OC(C)c1c(ccc(F)c1Cl)C(=O)N(C)C2,34da3f5246370678,SUZUKI,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cc1nn(CCO[Si](C)(C)C(C)(C)C)c(CN(C)C(=O)c2ccc(F)c(Cl)c2[C@@H](C)Oc2nc(Br)cnc2N)c1Br>>Cc1nn(CCO[Si](C)(C)C(C)(C)C)c2c1-c1cnc(N)c(n1)OC(C)c1c(ccc(F)c1Cl)C(=O)N(C)C2,183,185,0,[],valid,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:Cn1ccc(N)n1>>SMILES:Cn1nc(N)cc1B1OC(C)(C)C(C)(C)O1,bea46c2cb8730bb2,PD BORYLATION,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Cn1ccc(N)n1>>Cn1nc(N)cc1B1OC(C)(C)C(C)(C)O1,79,81,0,[],valid,train
SMILES:CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.SMILES:N#Cc1ccccc1-c1ccnn1[C@@H]1CCCCO1>>SMILES:CC1(C)OB(c2cc(-c3ccccc3C#N)n(C3CCCCO3)n2)OC1(C)C,6d95a95ef4961389,PD BORYLATION,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.N#Cc1ccccc1-c1ccnn1[C@@H]1CCCCO1>>CC1(C)OB(c2cc(-c3ccccc3C#N)n(C3CCCCO3)n2)OC1(C)C,113,115,0,[],train,train
SMILES:CC1(C)OB(C2=CC(=O)CC2)OC1(C)C.SMILES:O=C(Cc1ccccn1)Nc1ccc(Br)nn1>>SMILES:O=C1C=C(c2ccc(NC(=O)Cc3ccccn3)nn2)CC1,fca25cdb73a359ca,SUZUKI,CC1(C)OB(C2=CC(=O)CC2)OC1(C)C.O=C(Cc1ccccn1)Nc1ccc(Br)nn1>>O=C1C=C(c2ccc(NC(=O)Cc3ccccn3)nn2)CC1,94,96,0,[],valid,train
SMILES:CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.SMILES:OCc1ccc(Br)cc1>>SMILES:OCc1ccc(-c2ccc3cn[nH]c3c2)cc1,3872d3ada925aaee,SUZUKI,CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.OCc1ccc(Br)cc1>>OCc1ccc(-c2ccc3cn[nH]c3c2)cc1,71,73,0,[],test,train
SMILES:CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.SMILES:OCc1ccc(I)cc1>>SMILES:OCc1ccc(-c2ccc3cn[nH]c3c2)cc1,7a9fb35f9e5680a5,SUZUKI,CC1(C)OB(c2ccc3cn[nH]c3c2)OC1(C)C.OCc1ccc(I)cc1>>OCc1ccc(-c2ccc3cn[nH]c3c2)cc1,71,73,0,[],train,train
SMILES:CC1(C)OB(c2ccccc2)OC1(C)C.SMILES:Cc1ccc(S(=O)(=O)N2CCC(C(=O)ON3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)CC2)cc1>>SMILES:Cc1ccc(S(=O)(=O)N2CCC(c3ccccc3)CC2)cc1,b86e9c0cd8b0e325,FE COUPLING,CC1(C)OB(c2ccccc2)OC1(C)C.Cc1ccc(S(=O)(=O)N2CCC(C(=O)ON3C(=O)c4c(Cl)c(Cl)c(Cl)c(Cl)c4C3=O)CC2)cc1>>Cc1ccc(S(=O)(=O)N2CCC(c3ccccc3)CC2)cc1,132,134,0,[],train,valid
SMILES:CC1(C)OB(c2cnc(N)nc2)OC1(C)C.SMILES:ClCCc1c(Cl)nc(N2CCOCC2)nc1Cl>>SMILES:Nc1ncc(-c2nc(N3CCOCC3)nc(Cl)c2CCCl)cn1,3539718774ae72e4,SUZUKI,CC1(C)OB(c2cnc(N)nc2)OC1(C)C.ClCCc1c(Cl)nc(N2CCOCC2)nc1Cl>>Nc1ncc(-c2nc(N3CCOCC3)nc(Cl)c2CCCl)cn1,91,93,0,[],train,test
SMILES:CC1(C)OB(c2cnc(N)nc2)OC1(C)C.SMILES:Clc1cc(Cl)nc(N2CCOCC2)n1>>SMILES:Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)cn1,b17225119d3954ca,SUZUKI,CC1(C)OB(c2cnc(N)nc2)OC1(C)C.Clc1cc(Cl)nc(N2CCOCC2)n1>>Nc1ncc(-c2cc(Cl)nc(N3CCOCC3)n2)cn1,85,87,0,[],train,test
SMILES:CC1(C)OB(c2cnoc2)OC1(C)C.SMILES:COC(=O)c1ccncc1Br>>SMILES:COC(=O)c1ccncc1-c1cnoc1,d9a5cceeb88692b8,SUZUKI,CC1(C)OB(c2cnoc2)OC1(C)C.COC(=O)c1ccncc1Br>>COC(=O)c1ccncc1-c1cnoc1,65,67,0,[],train,train
SMILES:CC1(C)OBOC1(C)C.SMILES:COC(=O)c1ccnc(Cl)c1>>SMILES:COC(=O)c1cc(Cl)nc(B2OC(C)(C)C(C)(C)O2)c1,007e2ca745ba2e45,PD BORYLATION,CC1(C)OBOC1(C)C.COC(=O)c1ccnc(Cl)c1>>COC(=O)c1cc(Cl)nc(B2OC(C)(C)C(C)(C)O2)c1,74,76,0,[],train,train
SMILES:CC1(C)OBOC1(C)C.SMILES:Cc1nc2ccccc2o1>>SMILES:Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,30dec27f1e1acda6,PD BORYLATION,CC1(C)OBOC1(C)C.Cc1nc2ccccc2o1>>Cc1nc2cccc(B3OC(C)(C)C(C)(C)O3)c2o1,66,68,0,[],train,valid
SMILES:CC1(C)OBOC1(C)C.SMILES:Cn1ccc(N)n1>>SMILES:Cn1nc(N)cc1B1OC(C)(C)C(C)(C)O1,3c1fe3dcd0af700f,PD BORYLATION,CC1(C)OBOC1(C)C.Cn1ccc(N)n1>>Cn1nc(N)cc1B1OC(C)(C)C(C)(C)O1,58,60,0,[],test,train
SMILES:CC1(C)OBOC1(C)C.SMILES:N#Cc1ccccc1-c1ccnn1[C@@H]1CCCCO1>>SMILES:CC1(C)OB(c2cc(-c3ccccc3C#N)n(C3CCCCO3)n2)OC1(C)C,719983e9b56341ec,PD BORYLATION,CC1(C)OBOC1(C)C.N#Cc1ccccc1-c1ccnn1[C@@H]1CCCCO1>>CC1(C)OB(c2cc(-c3ccccc3C#N)n(C3CCCCO3)n2)OC1(C)C,92,94,0,[],test,train
SMILES:CC1(C)O[C@@H]2[C@H](O1)[C@@H](C(=O)c1ccc(F)c(F)c1)O[C@H]2n1cc(F)c2c(Cl)ncnc21>>SMILES:CC1(C)O[C@H]2[C@@H](O1)[C@H](n1cc(F)c3c(Cl)ncnc31)O[C@@H]2[C@H](O)c1ccc(F)c(F)c1,84d68724afe4751f,HYDROGENATION,CC1(C)O[C@@H]2[C@H](O1)[C@@H](C(=O)c1ccc(F)c(F)c1)O[C@H]2n1cc(F)c2c(Cl)ncnc21>>CC1(C)O[C@H]2[C@@H](O1)[C@H](n1cc(F)c3c(Cl)ncnc31)O[C@@H]2[C@H](O)c1ccc(F)c(F)c1,116,118,0,[],train,test
SMILES:CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)O)C(=O)C2.SMILES:CCO.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,5cdda921b9d09686,PHOTOCHEMISTRY,CC1(C)[C@H]2CC[C@]1(CS(=O)(=O)O)C(=O)C2.CCO.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,68,70,0,[],train,train
SMILES:CC1(N)CCN(C(=O)OC(C)(C)C)C1.SMILES:CS(=O)(=O)OCCc1c(Cl)nc(N2CCOCC2)nc1Cl>>SMILES:CC(C)(C)OC(=O)N1CCC(C)(N2CCc3c(Cl)nc(N4CCOCC4)nc32)C1,6f84a00d0b7f7413,ALKYLATION,CC1(N)CCN(C(=O)OC(C)(C)C)C1.CS(=O)(=O)OCCc1c(Cl)nc(N2CCOCC2)nc1Cl>>CC(C)(C)OC(=O)N1CCC(C)(N2CCc3c(Cl)nc(N4CCOCC4)nc32)C1,116,118,0,[],test,train
SMILES:CC1=C(c2ccccc2)CC1=O>>SMILES:CC1C(=O)CC1c1ccccc1,d3f4bf3ef5a47de3,HYDROGENATION,CC1=C(c2ccccc2)CC1=O>>CC1C(=O)CC1c1ccccc1,40,42,0,[],train,train
SMILES:CC1=CCC(O[Si](C)(C)C(C)(C)C)=CC1>>SMILES:C[C@@H]1CC=C(O[Si](C)(C)C(C)(C)C)CC1,ccf32dc88940a4d0,HYDROGENATION,CC1=CCC(O[Si](C)(C)C(C)(C)C)=CC1>>C[C@@H]1CC=C(O[Si](C)(C)C(C)(C)C)CC1,58,60,0,[],train,test
SMILES:CC1=CCC(O[Si](C)(C)C(C)(C)C)=CC1>>SMILES:C[C@H]1CC=C(O[Si](C)(C)C(C)(C)C)CC1,ccf32dc88940a4d0,HYDROGENATION,CC1=CCC(O[Si](C)(C)C(C)(C)C)=CC1>>C[C@H]1CC=C(O[Si](C)(C)C(C)(C)C)CC1,58,60,0,[],train,test
SMILES:CC1C=CC(=O)CC1.SMILES:NC(=O)OCc1ccccc1>>SMILES:C[C@H]1CCC(=O)C[C@@H]1NC(=O)OCc1ccccc1,34cce7e5f0617155,LEWIS ACID,CC1C=CC(=O)CC1.NC(=O)OCc1ccccc1>>C[C@H]1CCC(=O)C[C@@H]1NC(=O)OCc1ccccc1,61,63,0,[],test,test
SMILES:CC1CO1.SMILES:Nc1nc2[nH]ccc2c2nc(-c3ccco3)nn12>>SMILES:CC(O)Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21,828c602d9bcc4292,ALKYLATION,CC1CO1.Nc1nc2[nH]ccc2c2nc(-c3ccco3)nn12>>CC(O)Cn1ccc2c1nc(N)n1nc(-c3ccco3)nc21,74,76,0,[],train,valid
SMILES:CC=O.SMILES:CCOC(=O)n1cnnn1>>SMILES:CCOC(=O)OC(C)n1cnnn1,4c10536cccc34662,ALKYLATION,CC=O.CCOC(=O)n1cnnn1>>CCOC(=O)OC(C)n1cnnn1,41,43,0,[],train,train
SMILES:CCC(C)[B-](C(C)CC)C(C)CC.[Na+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,44575b168faa521c,AMINATION,CCC(C)[B-](C(C)CC)C(C)CC.[Na+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,76,78,0,[],train,train
SMILES:CCC(C)[B-](C(C)CC)C(C)CC.[Na+].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,b3d1a60c32fe15ec,AMINATION,CCC(C)[B-](C(C)CC)C(C)CC.[Na+].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,85,87,0,[],train,test
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[BH2-]C#N.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,b964528b4244ab1c,AMINATION,CCCC[N+](CCCC)(CCCC)CCCC.[BH2-]C#N.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,79,81,0,[],train,train
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[BH2-]C#N.SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,6a0d10a5c32f434f,AMINATION,CCCC[N+](CCCC)(CCCC)CCCC.[BH2-]C#N.CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,88,90,0,[],test,train
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[BH3-].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:N>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,d361e3f8c7a6cdde,AMINATION,CCCC[N+](CCCC)(CCCC)CCCC.[BH3-].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.N>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,76,78,0,[],train,train
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[BH3-].SMILES:CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.SMILES:NCc1ccccc1>>SMILES:CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,e71da9d2b243054e,AMINATION,CCCC[N+](CCCC)(CCCC)CCCC.[BH3-].CS(=O)(=O)N1CCC(=O)[C@@H](O)C1.NCc1ccccc1>>CS(=O)(=O)N1CC[C@@H](N)[C@@H](O)C1,85,87,0,[],train,test
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[C-]#N.SMILES:Cc1c(Br)cncc1Br>>SMILES:Cc1c(Br)cncc1C#N,c167b585c1d38b4e,CYANATION,CCCC[N+](CCCC)(CCCC)CCCC.[C-]#N.Cc1c(Br)cncc1Br>>Cc1c(Br)cncc1C#N,55,57,0,[],train,valid
SMILES:CCCC[N+](CCCC)(CCCC)CCCC.[OH-].SMILES:Cc1c(Br)cncc1Br>>SMILES:Cc1c(Br)cncc1C#N,92fc25fb72dcd6a8,CYANATION,CCCC[N+](CCCC)(CCCC)CCCC.[OH-].Cc1c(Br)cncc1Br>>Cc1c(Br)cncc1C#N,53,55,0,[],train,train
SMILES:CCCN1CC(O)C1.SMILES:COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1>>SMILES:CCCN1CC(Oc2ccc(C3Oc4cc(OC)ccc4C(C)=C3c3ccc(OC)cc3)cc2)C1,63783668b7bf6256,ULLMANN,CCCN1CC(O)C1.COc1ccc(C2=C(C)c3ccc(OC)cc3O[C@@H]2c2ccc(I)cc2)cc1>>CCCN1CC(Oc2ccc(C3Oc4cc(OC)ccc4C(C)=C3c3ccc(OC)cc3)cc2)C1,115,117,0,[],valid,train
SMILES:CCN.Cl.SMILES:Cc1cc(C)c(CN2CCc3ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c3C2=O)c(OCc2ccccc2)n1>>SMILES:CCNc1ccc2c(c1Cl)C(=O)N(Cc1c(C)cc(C)nc1OCc1ccccc1)CC2,2c16c1e805bb5b26,BUCHWALD,CCN.Cl.Cc1cc(C)c(CN2CCc3ccc(OS(=O)(=O)C(F)(F)F)c(Cl)c3C2=O)c(OCc2ccccc2)n1>>CCNc1ccc2c(c1Cl)C(=O)N(Cc1c(C)cc(C)nc1OCc1ccccc1)CC2,124,126,0,[],test,train
SMILES:CCNCc1c(-c2cnc(N)c(O[C@H](C)c3cc(F)ccc3C(=O)O)c2)c(C)nn1C>>SMILES:CCN1Cc2c(c(C)nn2C)-c2cnc(N)c(c2)OC(C)c2cc(F)ccc2C1=O,de4f0a9f3449a551,AMIDE COUPLING,CCNCc1c(-c2cnc(N)c(O[C@H](C)c3cc(F)ccc3C(=O)O)c2)c(C)nn1C>>CCN1Cc2c(c(C)nn2C)-c2cnc(N)c(c2)OC(C)c2cc(F)ccc2C1=O,106,108,0,[],train,valid
SMILES:CCO.SMILES:CS(=O)(=O)O.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,fec81f44fdb8cfa7,PHOTOCHEMISTRY,CCO.CS(=O)(=O)O.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,47,49,0,[],train,train
SMILES:CCO.SMILES:O=C(O)C(F)(F)F.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,c8f8f693405ef152,PHOTOCHEMISTRY,CCO.O=C(O)C(F)(F)F.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,50,52,0,[],train,train
SMILES:CCO.SMILES:O=C(O)CCC(=O)O.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,e85b305dad2a26c1,PHOTOCHEMISTRY,CCO.O=C(O)CCC(=O)O.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,50,52,0,[],train,train
SMILES:CCO.SMILES:O=C(O)c1ccccc1.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,bcf9906cf47be2d0,PHOTOCHEMISTRY,CCO.O=C(O)c1ccccc1.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,50,52,0,[],train,test
SMILES:CCO.SMILES:O=P(O)(O)O.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,0cf216a3dbc3f5d8,PHOTOCHEMISTRY,CCO.O=P(O)(O)O.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,46,48,0,[],valid,test
SMILES:CCO.SMILES:O=S(=O)(O)O.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,572d0df92583a84a,PHOTOCHEMISTRY,CCO.O=S(=O)(O)O.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,47,49,0,[],train,train
SMILES:CCO.SMILES:O=S(=O)(O)c1ccccc1.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,291742d207c081c2,PHOTOCHEMISTRY,CCO.O=S(=O)(O)c1ccccc1.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,54,56,0,[],train,train
SMILES:CCO.SMILES:c1ccc2cnccc2c1>>SMILES:CCc1nccc2ccccc12,c8f8f693405ef152,PHOTOCHEMISTRY,CCO.c1ccc2cnccc2c1>>CCc1nccc2ccccc12,35,37,0,[],valid,train
SMILES:CCO/C=C\B1OC(C)(C)C(C)(C)O1.SMILES:N#Cc1ncc(Cl)cc1Cl>>SMILES:CCO/C=C\c1cnc(C#N)c(Cl)c1,8e0143935cb68250,SUZUKI,CCO/C=C\B1OC(C)(C)C(C)(C)O1.N#Cc1ncc(Cl)cc1Cl>>CCO/C=C\c1cnc(C#N)c(Cl)c1,68,70,0,[],test,train
SMILES:CCOC(=O)C(F)Br.SMILES:OB(O)c1ccc(-c2ccccc2)cc1>>SMILES:CCOC(=O)C(F)c1ccc(-c2ccccc2)cc1,3cd08e4be24787f4,ULLMANN,CCOC(=O)C(F)Br.OB(O)c1ccc(-c2ccccc2)cc1>>CCOC(=O)C(F)c1ccc(-c2ccccc2)cc1,70,72,0,[],train,train
SMILES:CCOC(=O)C(F)Br.SMILES:OB(O)c1ccc(-c2cccnc2)cc1>>SMILES:CCOC(=O)C(F)c1ccc(-c2cccnc2)cc1,85ebb5450d28fc56,CU COUPLING,CCOC(=O)C(F)Br.OB(O)c1ccc(-c2cccnc2)cc1>>CCOC(=O)C(F)c1ccc(-c2cccnc2)cc1,70,72,0,[],train,valid
SMILES:CCOC(=O)C1(C(=O)OCC)CCN(Cc2ccccc2)C1>>SMILES:CCOC(=O)C1(C(=O)OCC)CCNC1,47ddc7a7845d0064,HYDROGENATION,CCOC(=O)C1(C(=O)OCC)CCN(Cc2ccccc2)C1>>CCOC(=O)C1(C(=O)OCC)CCNC1,62,64,0,[],train,train
SMILES:CCOC(=O)CC[C@H](N)C(=O)OCC.Cl.SMILES:Cc1cc(C(=O)O)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1>>SMILES:CCOC(=O)CC[C@H](NC(=O)c1cc(C)c(CC[C@H]2CNc3nc(N)[nH]c(=O)c3C2)s1)C(=O)OCC,bc009825cf6c482c,AMIDE COUPLING,CCOC(=O)CC[C@H](N)C(=O)OCC.Cl.Cc1cc(C(=O)O)sc1CC[C@H]1CNc2nc(N)[nH]c(=O)c2C1>>CCOC(=O)CC[C@H](NC(=O)c1cc(C)c(CC[C@H]2CNc3nc(N)[nH]c(=O)c3C2)s1)C(=O)OCC,127,129,0,[],test,valid
SMILES:CCOC(=O)O[C@H](C)n1nnc(-c2c(I)cnn2C)n1.SMILES:Cc1cccnc1N(C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1>>SMILES:CCOC(=O)O[C@H](C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCN(C(=O)OC(C)(C)C)C4)cc3)cnn2C)n1,79ded37dcd3fae44,SUZUKI,CCOC(=O)O[C@H](C)n1nnc(-c2c(I)cnn2C)n1.Cc1cccnc1N(C(=O)c1ccc(B2OC(C)(C)C(C)(C)O2)cc1)[C@@H]1CCCN(C(=O)OC(C)(C)C)C1>>CCOC(=O)O[C@H](C)n1nnc(-c2c(-c3ccc(C(=O)N(c4ncccc4C)[C@@H]4CCCN(C(=O)OC(C)(C)C)C4)cc3)cnn2C)n1,191,193,0,[],train,train
SMILES:CCOC(=O)c1c[nH]nc1O.SMILES:Clc1ccc(I)cc1>>SMILES:CCOC(=O)c1cn(-c2ccc(Cl)cc2)nc1O,3539d26d9cc786b7,ULLMANN,CCOC(=O)c1c[nH]nc1O.Clc1ccc(I)cc1>>CCOC(=O)c1cn(-c2ccc(Cl)cc2)nc1O,60,62,0,[],train,train
