candidate_id,split_type,representation,max_depth,learning_rate,min_child_weight,subsample,colsample_bytree,reg_lambda,best_iteration,selected_rounds,train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample
4,scaffold,combined,8,0.03,1,0.8,0.8,1.0,816,817,4.510839443653822,2940,1.023657994282465,1.6466891941837283,0.5327035777837525,0.7503526928490594,0.06374876014888287,0.021683251751320704
6,scaffold,combined,6,0.03,5,1.0,0.8,10.0,819,820,2.438373640179634,2940,1.0293385433530844,1.636863672705254,0.5382635011688117,0.7558686706495116,0.0857165353372693,0.029155284128322894
5,scaffold,combined,4,0.05,5,0.8,0.8,10.0,580,581,1.1847564848139882,2940,1.0365779475787682,1.641067510602167,0.5358887671294348,0.758355108206007,0.07576610147953033,0.02577078281616678
3,scaffold,combined,6,0.05,1,0.8,0.8,1.0,355,356,1.290025319904089,2940,1.0397253123121921,1.6717861954232418,0.5183510096229779,0.7414875879570574,0.038958010263741016,0.013251023899231638
2,scaffold,combined,4,0.05,1,0.8,0.8,1.0,481,482,0.8762659365311265,2940,1.0417232322985335,1.652714574107283,0.5292775641503548,0.7509464979986088,0.040943813510239124,0.013926467180353444
1,scaffold,combined,3,0.1,1,0.8,1.0,1.0,362,363,0.6458782032132149,2940,1.0546132885309674,1.6605803457544195,0.524786279162127,0.7394629251178424,0.038350678980350494,0.013044448632772277
