split_type,model,representation,alpha,train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample
random,ridge,combined,100.0,0.21259994991123676,999,1.0682266794419657,1.4252134805694538,0.6499918556375696,0.8127653037464742,0.009269313886761665,0.009278592479240906
random,ridge,combined,10.0,0.3639506110921502,999,1.0754248638424344,1.423687185879564,0.6507411181549645,0.7989971159520607,0.009338701143860817,0.00934804919305387
random,ridge,combined,1.0,0.6559104761108756,999,1.182344445847096,1.5586111855596454,0.5814051466130068,0.7634323636762218,0.009309514425694942,0.009318833258953897
random,ridge,combined,1000.0,0.13993273861706257,999,1.2006581031418573,1.564434569728752,0.5782713407005585,0.7894933918770349,0.009408370591700077,0.009417788380080156
random,ridge,combined,0.1,0.6207658750936389,999,1.2228980509024039,1.616929217093505,0.5494942647552482,0.7500591400638136,0.009452246129512787,0.009461707837350137
random,ridge,combined,0.01,0.5992724820971489,999,1.2282433121544853,1.6248443042950198,0.5450728965729612,0.7481223592055073,0.009341864846646786,0.009351216062709495
random,ridge,combined,10000.0,0.12301848735660315,999,1.4427962433064339,1.8301185874751762,0.42286585281595523,0.7512069795172106,0.009289328008890152,0.009298626635525678
