split_type,model,representation,alpha,train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample
random,ridge,ecfp,10.0,0.2320720385760069,999,1.1545100250266012,1.5235633203556869,0.6000190347986379,0.7615831530796561,0.0013277381658554077,0.0013290672330884962
random,ridge,ecfp,100.0,0.12110546231269836,999,1.182916800835747,1.5489493278681044,0.5865788143966371,0.75348505721477,0.0013439785689115524,0.0013453238928043568
random,ridge,ecfp,1.0,0.3985932758077979,999,1.2673237207846753,1.663782870856999,0.5230074405115892,0.7280643062361913,0.0013465583324432373,0.0013479062386819191
random,ridge,ecfp,0.1,0.46473852172493935,999,1.3120698332322764,1.7232660004347353,0.4882911287308872,0.7141615164853229,0.0013321507722139359,0.0013334842564704063
random,ridge,ecfp,0.01,0.9197558360174298,999,1.3179721247698009,1.731503319193766,0.48338743617812596,0.7123061958332586,0.0013665184378623962,0.0013678863241865828
random,ridge,ecfp,1000.0,0.06896554306149483,999,1.4383011988615402,1.8252867966176987,0.4259092734582587,0.6736989389590782,0.0013677813112735748,0.0013691504617353101
random,ridge,ecfp,10000.0,0.058330598287284374,999,1.7563964425904528,2.209713589028881,0.15862368959940365,0.5841144169430624,0.0013123676180839539,0.0013136812993833373
