candidate_id,split_type,representation,n_estimators,max_depth,min_samples_leaf,max_features,train_seconds,valid_n_samples,valid_mae,valid_rmse,valid_r2,valid_spearman,valid_prediction_seconds,valid_milliseconds_per_sample
2,scaffold,combined,300,,2,0.5,8.511266633868217,2940,1.0633212476537943,1.6586184860771598,0.5259084794990816,0.7416014535105183,0.04538152739405632,0.015435893671447728
5,scaffold,combined,300,20.0,2,0.5,9.03900486137718,2940,1.0652177960493094,1.664315564453345,0.5226460352345438,0.740418725713975,0.04472867865115404,0.015213836275902734
6,scaffold,combined,300,12.0,2,0.5,8.509453790262341,2940,1.0704612969849345,1.6661339575798517,0.5216023733535351,0.7379183860007512,0.04508368391543627,0.015334586365794649
3,scaffold,combined,300,,4,0.5,8.414526278153062,2940,1.0732046918012241,1.6602924886346866,0.5249510189133622,0.739580949364545,0.045134883373975754,0.0153520011476108
1,scaffold,combined,300,,1,1.0,15.306377230212092,2940,1.0809056911460393,1.725312353010476,0.4870150211458977,0.7197312868250739,0.05566957965493202,0.018935231175146946
4,scaffold,combined,300,20.0,1,sqrt,1.3009569915011525,2940,1.397976321278595,1.786575600036055,0.4499375720613611,0.7233335102276395,0.05507471412420273,0.018732895960613172
